Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     695 (49);     718 (51);   1.413
10-19;   2.014 (49);   2.094 (51);   4.108
20-29;   3.309 (52);   3.027 (48);   6.336
30-39;   2.388 (52);   2.166 (48);   4.554
40-49;   2.797 (55);   2.335 (45);   5.132
50-59;   2.688 (53);   2.393 (47);   5.081
60-69;   1.356 (48);   1.477 (52);   2.833
70-79;     884 (47);   1.005 (53);   1.889
80-89;     633 (56);     495 (44);   1.128
90+;     240 (71);      97 (29);     337
I alt;  17.004 (52);  15.807 (48);  32.811
