Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     549 (49);     577 (51);   1.126
10-19;   1.596 (49);   1.641 (51);   3.237
20-29;   2.851 (53);   2.542 (47);   5.393
30-39;   2.125 (54);   1.833 (46);   3.958
40-49;   2.439 (56);   1.944 (44);   4.383
50-59;   2.354 (54);   2.013 (46);   4.367
60-69;   1.214 (48);   1.290 (52);   2.504
70-79;     778 (47);     888 (53);   1.666
80-89;     592 (57);     452 (43);   1.044
90+;     229 (72);      91 (28);     320
I alt;  14.727 (53);  13.271 (47);  27.998
