Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.587.959; 136.367;   7.636;   1.341
Sjælland; 665.593;  39.056;   2.635;     406
Syddanmark; 992.618;  40.639;   1.854;     222
Midtjylland;1.084.362;  50.885;   2.282;     358
Nordjylland; 504.381;  21.406;     999;     188
