Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     189 (51);     181 (49);     370
10-19;     356 (55);     292 (45);     648
20-29;   1.116 (61);     703 (39);   1.819
30-39;   1.123 (60);     749 (40);   1.872
40-49;   1.327 (60);     896 (40);   2.223
50-59;   1.365 (59);     933 (41);   2.298
60-69;     728 (50);     730 (50);   1.458
70-79;     499 (46);     591 (54);   1.090
80-89;     480 (57);     358 (43);     838
90+;     189 (72);      73 (28);     262
I alt;   7.372 (57);   5.506 (43);  12.878
