Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     290 (49);     296 (51);     586
10-19;     658 (52);     611 (48);   1.269
20-29;   1.554 (57);   1.180 (43);   2.734
30-39;   1.348 (55);   1.083 (45);   2.431
40-49;   1.575 (57);   1.166 (43);   2.741
50-59;   1.599 (57);   1.216 (43);   2.815
60-69;     813 (48);     882 (52);   1.695
70-79;     562 (46);     647 (54);   1.209
80-89;     496 (57);     375 (43);     871
90+;     199 (72);      77 (28);     276
I alt;   9.094 (55);   7.533 (45);  16.627
