Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     334 (49);     347 (51);     681
10-19;     794 (51);     764 (49);   1.558
20-29;   1.786 (55);   1.442 (45);   3.228
30-39;   1.512 (55);   1.243 (45);   2.755
40-49;   1.726 (57);   1.320 (43);   3.046
50-59;   1.724 (57);   1.326 (43);   3.050
60-69;     886 (48);     951 (52);   1.837
70-79;     592 (46);     689 (54);   1.281
80-89;     509 (57);     382 (43);     891
90+;     202 (72);      78 (28);     280
I alt;  10.065 (54);   8.542 (46);  18.607
