"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;404538;225011;63.3;35.2;638982
Frederiksberg;71771;45839;69.9;44.6;102743
Ballerup;32717;23637;66.6;48.2;49090
Brøndby;21482;16134;60.5;45.4;35506
Dragør;10172;8053;69.7;55.1;14604
Gentofte;51771;38951;69.7;52.4;74314
Gladsaxe;45407;31340;65.9;45.5;68889
Glostrup;15305;10855;65.1;46.2;23519
Herlev;18794;13531;65.2;46.9;28834
Albertslund;16559;12058;60.9;44.3;27191
Hvidovre;34079;24282;64.0;45.6;53230
Høje Tåstrup;31897;23027;60.8;43.9;52495
Lyngby-Taarbæk;40156;27987;70.4;49.1;57043
Rødovre;26285;18490;63.8;44.9;41192
Ishøj;12854;9485;55.8;41.1;23056
Tårnby;28086;20619;65.9;48.3;42646
Vallensbæk;10243;7589;62.0;45.9;16518
Furesø;28168;21129;68.2;51.2;41289
Allerød;18453;13816;71.2;53.3;25932
Fredensborg;28102;21150;68.5;51.5;41029
Helsingør;44042;32678;69.7;51.7;63160
Hillerød;36625;26569;70.1;50.8;52265
Hørsholm;18194;14263;73.3;57.5;24808
Rudersdal;40650;30089;70.9;52.5;57315
Egedal;30685;22495;69.6;51.0;44102
Frederikssund;32960;25385;71.9;55.4;45813
Greve;33315;23102;65.7;45.6;50679
Køge;42107;28681;68.3;46.5;61648
Halsnæs;22533;17537;71.6;55.8;31453
Roskilde;61506;42045;69.1;47.2;89031
Solrød;16085;10705;68.3;45.4;23566
Gribskov;29687;23508;72.1;57.1;41201
Odsherred;24203;18892;73.4;57.3;32989
Holbæk;50518;36754;69.7;50.7;72528
Faxe;25685;17784;69.4;48.1;36985
Kalundborg;33600;24746;69.4;51.1;48435
Ringsted;23167;15121;66.1;43.1;35047
Slagelse;54006;39375;67.9;49.5;79581
Stevns;16473;11587;70.8;49.8;23261
Sorø;20883;15343;69.6;51.1;30013
Lejre;19950;14363;69.8;50.3;28579
Lolland;28412;22122;70.5;54.9;40326
Næstved;57179;40226;68.5;48.2;83489
Guldborgsund;42771;33658;70.8;55.7;60416
Vordingborg;32200;24040;71.0;53.0;45382
Bornholm;29001;24888;72.8;62.5;39844
Middelfart;27902;19044;70.7;48.3;39465
Assens;27894;19898;68.3;48.7;40842
Faaborg-Midtfyn;36107;25178;69.7;48.6;51831
Kerteminde;16818;12057;70.2;50.3;23947
Nyborg;22342;15162;69.7;47.3;32068
Odense;132824;83046;64.9;40.6;204743
Svendborg;41619;28826;70.6;48.9;58919
Nordfyn;19896;14198;67.2;47.9;29613
Langeland;9152;7020;74.1;56.8;12356
Ærø;4536;3523;75.5;58.6;6011
Haderslev;36620;21757;66.1;39.3;55426
Billund;17773;11819;66.9;44.5;26567
Sønderborg;51439;34090;69.8;46.2;73718
Tønder;24248;15043;65.6;40.7;36966
Esbjerg;74026;56737;64.1;49.1;115489
Fanø;2539;2131;73.7;61.9;3445
Varde;32671;25430;65.7;51.1;49763
Vejen;27988;18005;65.4;42.1;42788
Aabenraa;38924;25879;66.5;44.2;58527
Fredericia;35037;22614;68.0;43.9;51505
Horsens;61164;39253;65.7;42.1;93156
Kolding;57802;37546;62.1;40.3;93069
Vejle;73859;49383;62.5;41.8;118119
Herning;57231;39955;64.1;44.7;89348
Holstebro;38919;26937;66.4;46.0;58601
Lemvig;13684;10475;70.3;53.8;19477
Struer;14613;10973;70.2;52.7;20817
Syddjurs;30040;21911;69.1;50.4;43453
Norddjurs;25669;18475;69.5;50.0;36940
Favrskov;32496;21701;66.7;44.5;48714
Odder;16594;11704;71.7;50.6;23132
Randers;65207;43287;66.1;43.9;98651
Silkeborg;62992;42795;65.2;44.3;96605
Samsø;2825;2313;75.8;62.1;3726
Skanderborg;43472;29011;68.0;45.4;63913
Århus;230013;134952;65.3;38.3;352479
Ikast-Brande;26695;18725;63.8;44.8;41834
Ringkøbing-Skjern;37339;27767;66.4;49.4;56210
Hedensted;32407;21844;68.9;46.4;47039
Morsø;14094;10283;70.2;51.2;20076
Skive;31768;22800;70.3;50.4;45200
Thisted;30615;21645;71.0;50.2;43141
Viborg;65289;44138;67.5;45.6;96744
Brønderslev;24441;16472;67.5;45.5;36189
Frederikshavn;43052;31138;73.0;52.8;58991
Vesthimmerland;25623;18187;70.5;50.0;36356
Læsø;1430;1394;80.3;78.3;1781
Rebild;20660;13429;67.5;43.9;30616
Mariagerfjord;28816;20493;69.3;49.3;41573
Jammerbugt;26819;17829;70.3;46.7;38170
Aalborg;149152;87438;67.9;39.8;219643
Hjørring;44784;30418;70.0;47.5;64004
