"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;404538;225011;638982
Frederiksberg;71771;45839;102743
Ballerup;32717;23637;49090
Brøndby;21482;16134;35506
Dragør;10172;8053;14604
Gentofte;51771;38951;74314
Gladsaxe;45407;31340;68889
Glostrup;15305;10855;23519
Herlev;18794;13531;28834
Albertslund;16559;12058;27191
Hvidovre;34079;24282;53230
Høje-Taastrup;31897;23027;52495
Lyngby-Taarbæk;40156;27987;57043
Rødovre;26285;18490;41192
Ishøj;12854;9485;23056
Tårnby;28086;20619;42646
Vallensbæk;10243;7589;16518
Furesø;28168;21129;41289
Allerød;18453;13816;25932
Fredensborg;28102;21150;41029
Helsingør;44042;32678;63160
Hillerød;36625;26569;52265
Hørsholm;18194;14263;24808
Rudersdal;40650;30089;57315
Egedal;30685;22495;44102
Frederikssund;32960;25385;45813
Greve;33315;23102;50679
Køge;42107;28681;61648
Frederiksværk-Hundested;22533;17537;31453
Roskilde;61506;42045;89031
Solrød;16085;10705;23566
Gribskov;29687;23508;41201
Odsherred;24203;18892;32989
Holbæk;50518;36754;72528
Faxe;25685;17784;36985
Kalundborg;33600;24746;48435
Ringsted;23167;15121;35047
Slagelse;54006;39375;79581
Stevns;16473;11587;23261
Sorø;20883;15343;30013
Lejre;19950;14363;28579
Lolland;28412;22122;40326
Næstved;57179;40226;83489
Guldborgsund;42771;33658;60416
Vordingborg;32200;24040;45382
Bornholm;29001;24888;39844
Middelfart;27902;19044;39465
Assens;27894;19898;40842
Faaborg-Midtfyn;36107;25178;51831
Kerteminde;16818;12057;23947
Nyborg;22342;15162;32068
Odense;132824;83046;204743
Svendborg;41619;28826;58919
Nordfyns;19896;14198;29613
Langeland;9152;7020;12356
Ærø;4536;3523;6011
Haderslev;36620;21757;55426
Billund;17773;11819;26567
Sønderborg;51439;34090;73718
Tønder;24248;15043;36966
Esbjerg;74026;56737;115489
Fanø;2539;2131;3445
Varde;32671;25430;49763
Vejen;27988;18005;42788
Aabenraa;38924;25879;58527
Fredericia;35037;22614;51505
Horsens;61164;39253;93156
Kolding;57802;37546;93069
Vejle;73859;49383;118119
Herning;57231;39955;89348
Holstebro;38919;26937;58601
Lemvig;13684;10475;19477
Struer;14613;10973;20817
Syddjurs;30040;21911;43453
Norddjurs;25669;18475;36940
Favrskov;32496;21701;48714
Odder;16594;11704;23132
Randers;65207;43287;98651
Silkeborg;62992;42795;96605
Samsø;2825;2313;3726
Skanderborg;43472;29011;63913
Århus;230013;134952;352479
Ikast-Brande;26695;18725;41834
Ringkøbing-Skjern;37339;27767;56210
Hedensted;32407;21844;47039
Morsø;14094;10283;20076
Skive;31768;22800;45200
Thisted;30615;21645;43141
Viborg;65289;44138;96744
Brønderslev-Dronninglund;24441;16472;36189
Frederikshavn;43052;31138;58991
Vesthimmerlands;25623;18187;36356
Læsø;1430;1394;1781
Rebild;20660;13429;30616
Mariagerfjord;28816;20493;41573
Jammerbugt;26819;17829;38170
Ålborg;149152;87438;219643
Hjørring;44784;30418;64004
