"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;409486;268726;69.3;45.5;590540
Midtjylland;888417;589016;66.5;44.1;1336039
Syddanmark;812016;548386;66.3;44.8;1225177
Hovedstaden;1231216;830395;66.3;44.7;1858063
Sjælland;582060;418544;69.1;49.7;841955
