"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2020-12-17;1084;Hovedstaden;1;1084
2020-12-18;1084;Hovedstaden;1;1084
2020-12-19;1084;Hovedstaden;1;1084
2020-12-21;1084;Hovedstaden;1;1084
2020-12-22;1083;Syddanmark;1;1083
2020-12-23;1082;Midtjylland;1;1082
2020-12-23;1084;Hovedstaden;2;1084
2020-12-24;1084;Hovedstaden;3;1084
2020-12-26;1084;Hovedstaden;1;1084
2020-12-26;1085;Sjælland;1;1085
2020-12-27;1081;Nordjylland;1014;1081
2020-12-27;1082;Midtjylland;1839;1082
2020-12-27;1083;Syddanmark;454;1083
2020-12-27;1084;Hovedstaden;1605;1084
2020-12-27;1085;Sjælland;1299;1085
2020-12-28;1081;Nordjylland;103;1081
2020-12-28;1082;Midtjylland;196;1082
2020-12-28;1083;Syddanmark;646;1083
2020-12-28;1084;Hovedstaden;494;1084
2020-12-28;1085;Sjælland;551;1085
2020-12-29;1081;Nordjylland;313;1081
2020-12-29;1082;Midtjylland;1064;1082
2020-12-29;1083;Syddanmark;1845;1083
2020-12-29;1084;Hovedstaden;3507;1084
2020-12-29;1085;Sjælland;1929;1085
2020-12-30;1081;Nordjylland;2188;1081
2020-12-30;1082;Midtjylland;1218;1082
2020-12-30;1083;Syddanmark;2389;1083
2020-12-30;1084;Hovedstaden;3447;1084
2020-12-30;1085;Sjælland;1834;1085
2020-12-31;1081;Nordjylland;652;1081
2020-12-31;1082;Midtjylland;1085;1082
2020-12-31;1083;Syddanmark;1278;1083
2020-12-31;1084;Hovedstaden;1606;1084
2020-12-31;1085;Sjælland;1277;1085
2021-01-01;1081;Nordjylland;7;1081
2021-01-01;1082;Midtjylland;126;1082
2021-01-01;1083;Syddanmark;647;1083
2021-01-01;1084;Hovedstaden;1174;1084
2021-01-01;1085;Sjælland;290;1085
2021-01-02;1081;Nordjylland;1643;1081
2021-01-02;1082;Midtjylland;2298;1082
2021-01-02;1083;Syddanmark;1889;1083
2021-01-02;1084;Hovedstaden;2239;1084
2021-01-02;1085;Sjælland;393;1085
2021-01-03;1081;Nordjylland;16;1081
2021-01-03;1082;Midtjylland;2853;1082
2021-01-03;1083;Syddanmark;759;1083
2021-01-03;1084;Hovedstaden;1974;1084
2021-01-03;1085;Sjælland;95;1085
2021-01-04;1081;Nordjylland;1008;1081
2021-01-04;1082;Midtjylland;59;1082
2021-01-04;1083;Syddanmark;946;1083
2021-01-04;1084;Hovedstaden;356;1084
2021-01-04;1085;Sjælland;21;1085
2021-01-05;1081;Nordjylland;2101;1081
2021-01-05;1082;Midtjylland;2766;1082
2021-01-05;1083;Syddanmark;1137;1083
2021-01-05;1084;Hovedstaden;6457;1084
2021-01-05;1085;Sjælland;544;1085
2021-01-06;1081;Nordjylland;2680;1081
2021-01-06;1082;Midtjylland;4140;1082
2021-01-06;1083;Syddanmark;3571;1083
2021-01-06;1084;Hovedstaden;6636;1084
2021-01-06;1085;Sjælland;1920;1085
2021-01-07;1081;Nordjylland;1096;1081
2021-01-07;1082;Midtjylland;4215;1082
2021-01-07;1083;Syddanmark;4250;1083
2021-01-07;1084;Hovedstaden;5481;1084
2021-01-07;1085;Sjælland;1764;1085
2021-01-08;1081;Nordjylland;223;1081
2021-01-08;1082;Midtjylland;2642;1082
2021-01-08;1083;Syddanmark;3197;1083
2021-01-08;1084;Hovedstaden;751;1084
2021-01-08;1085;Sjælland;1321;1085
2021-01-09;1081;Nordjylland;31;1081
2021-01-09;1082;Midtjylland;720;1082
2021-01-09;1083;Syddanmark;29;1083
2021-01-09;1084;Hovedstaden;116;1084
2021-01-09;1085;Sjælland;977;1085
2021-01-10;1081;Nordjylland;1;1081
2021-01-10;1082;Midtjylland;1;1082
2021-01-10;1083;Syddanmark;19;1083
2021-01-10;1084;Hovedstaden;135;1084
2021-01-10;1085;Sjælland;663;1085
2021-01-11;1081;Nordjylland;3;1081
2021-01-11;1082;Midtjylland;19;1082
2021-01-11;1083;Syddanmark;18;1083
2021-01-11;1084;Hovedstaden;95;1084
2021-01-11;1085;Sjælland;524;1085
2021-01-12;1081;Nordjylland;5;1081
2021-01-12;1082;Midtjylland;14;1082
2021-01-12;1083;Syddanmark;12;1083
2021-01-12;1084;Hovedstaden;70;1084
2021-01-12;1085;Sjælland;361;1085
2021-01-13;1081;Nordjylland;480;1081
2021-01-13;1082;Midtjylland;1949;1082
2021-01-13;1083;Syddanmark;2264;1083
2021-01-13;1084;Hovedstaden;6881;1084
2021-01-13;1085;Sjælland;924;1085
2021-01-14;1081;Nordjylland;678;1081
2021-01-14;1082;Midtjylland;2782;1082
2021-01-14;1083;Syddanmark;3639;1083
2021-01-14;1084;Hovedstaden;8516;1084
2021-01-14;1085;Sjælland;1901;1085
2021-01-15;1081;Nordjylland;1298;1081
2021-01-15;1082;Midtjylland;3154;1082
2021-01-15;1083;Syddanmark;4012;1083
2021-01-15;1084;Hovedstaden;5404;1084
2021-01-15;1085;Sjælland;955;1085
2021-01-16;1081;Nordjylland;1251;1081
2021-01-16;1082;Midtjylland;902;1082
2021-01-16;1083;Syddanmark;1431;1083
2021-01-16;1084;Hovedstaden;852;1084
2021-01-16;1085;Sjælland;57;1085
2021-01-17;1081;Nordjylland;1081;1081
2021-01-17;1082;Midtjylland;24;1082
2021-01-17;1083;Syddanmark;1225;1083
2021-01-17;1084;Hovedstaden;51;1084
2021-01-17;1085;Sjælland;34;1085
2021-01-18;1081;Nordjylland;651;1081
2021-01-18;1082;Midtjylland;1584;1082
2021-01-18;1083;Syddanmark;1392;1083
2021-01-18;1084;Hovedstaden;28;1084
2021-01-18;1085;Sjælland;97;1085
2021-01-19;1081;Nordjylland;29;1081
2021-01-19;1082;Midtjylland;1783;1082
2021-01-19;1083;Syddanmark;400;1083
2021-01-19;1084;Hovedstaden;44;1084
2021-01-19;1085;Sjælland;162;1085
2021-01-20;1081;Nordjylland;17;1081
2021-01-20;1082;Midtjylland;985;1082
2021-01-20;1083;Syddanmark;201;1083
2021-01-20;1084;Hovedstaden;26;1084
2021-01-20;1085;Sjælland;245;1085
2021-01-21;1081;Nordjylland;16;1081
2021-01-21;1082;Midtjylland;1145;1082
2021-01-21;1083;Syddanmark;138;1083
2021-01-21;1084;Hovedstaden;25;1084
2021-01-21;1085;Sjælland;170;1085
2021-01-22;1081;Nordjylland;162;1081
2021-01-22;1082;Midtjylland;167;1082
2021-01-22;1083;Syddanmark;144;1083
2021-01-22;1084;Hovedstaden;45;1084
2021-01-22;1085;Sjælland;132;1085
2021-01-23;1081;Nordjylland;58;1081
2021-01-23;1082;Midtjylland;91;1082
2021-01-23;1083;Syddanmark;2;1083
2021-01-23;1084;Hovedstaden;540;1084
2021-01-23;1085;Sjælland;25;1085
2021-01-24;1081;Nordjylland;20;1081
2021-01-24;1082;Midtjylland;74;1082
2021-01-24;1083;Syddanmark;2;1083
2021-01-24;1084;Hovedstaden;466;1084
2021-01-24;1085;Sjælland;22;1085
2021-01-25;1081;Nordjylland;23;1081
2021-01-25;1082;Midtjylland;9;1082
2021-01-25;1083;Syddanmark;140;1083
2021-01-25;1084;Hovedstaden;48;1084
2021-01-25;1085;Sjælland;55;1085
2021-01-26;1081;Nordjylland;2;1081
2021-01-26;1082;Midtjylland;8;1082
2021-01-26;1083;Syddanmark;94;1083
2021-01-26;1084;Hovedstaden;14;1084
2021-01-26;1085;Sjælland;92;1085
2021-01-27;1081;Nordjylland;1;1081
2021-01-27;1082;Midtjylland;29;1082
2021-01-27;1083;Syddanmark;83;1083
2021-01-27;1084;Hovedstaden;14;1084
2021-01-27;1085;Sjælland;75;1085
2021-01-28;1081;Nordjylland;22;1081
2021-01-28;1082;Midtjylland;9;1082
2021-01-28;1083;Syddanmark;36;1083
2021-01-28;1084;Hovedstaden;14;1084
2021-01-28;1085;Sjælland;135;1085
2021-01-29;1081;Nordjylland;63;1081
2021-01-29;1082;Midtjylland;278;1082
2021-01-29;1083;Syddanmark;69;1083
2021-01-29;1084;Hovedstaden;423;1084
2021-01-29;1085;Sjælland;249;1085
2021-01-30;1081;Nordjylland;64;1081
2021-01-30;1082;Midtjylland;176;1082
2021-01-30;1083;Syddanmark;122;1083
2021-01-30;1084;Hovedstaden;399;1084
