"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90638;0.0;0.0
0-2;M;1;0;95628;0.0;0.0
3-5;K;4;1;91102;0.0;0.0
3-5;M;4;2;96199;0.0;0.0
6-11;K;17;7;179477;0.0;0.0
6-11;M;16;5;188969;0.0;0.0
12-15;K;97270;88186;132593;73.4;66.5
12-15;M;102699;93273;139911;73.4;66.7
16-19;K;117761;114912;134386;87.6;85.5
16-19;M;120793;116903;140381;86.0;83.3
20-39;K;594538;568656;731936;81.2;77.7
20-39;M;601768;576186;761722;79.0;75.6
40-64;K;877065;867693;946521;92.7;91.7
40-64;M;866556;856786;947922;91.4;90.4
65-79;K;455015;453844;470065;96.8;96.5
65-79;M;419474;418368;433061;96.9;96.6
80+;K;167394;166825;173332;96.6;96.2
80+;M;114986;114696;118166;97.3;97.1
