"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;15;3;297784;0.0;0.0
0-9;M;13;3;314400;0.0;0.0
10-19;K;215044;203105;330413;65.1;61.5
10-19;M;223500;210180;346688;64.5;60.6
20-29;K;307239;294341;382888;80.2;76.9
20-29;M;313357;298852;399082;78.5;74.9
30-39;K;287299;274315;349048;82.3;78.6
30-39;M;288411;277334;362640;79.5;76.5
40-49;K;333887;328490;368780;90.5;89.1
40-49;M;325228;319516;369143;88.1;86.6
50-59;K;374869;371778;400887;93.5;92.7
50-59;M;375824;372599;404644;92.9;92.1
60-69;K;326849;325435;341687;95.7;95.2
60-69;M;317100;315751;331685;95.6;95.2
70-79;K;296475;295834;305232;97.1;96.9
70-79;M;267878;267288;275511;97.2;97.0
80-89;K;136642;136260;141052;96.9;96.6
80-89;M;101887;101655;104615;97.4;97.2
90+;K;30752;30565;32279;95.3;94.7
90+;M;13099;13041;13551;96.7;96.2
