"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;18;4;297787;0.0;0.0
0-9;M;13;3;314400;0.0;0.0
10-19;K;227739;215644;343108;66.4;62.9
10-19;M;235552;222001;358740;65.7;61.9
20-29;K;305735;292778;381384;80.2;76.8
20-29;M;312263;297806;397988;78.5;74.8
30-39;K;288784;275928;350533;82.4;78.7
30-39;M;288374;277399;362603;79.5;76.5
40-49;K;339719;334340;374612;90.7;89.2
40-49;M;331380;325687;375295;88.3;86.8
50-59;K;375543;372472;401561;93.5;92.8
50-59;M;376190;372999;405010;92.9;92.1
60-69;K;324806;323408;339644;95.6;95.2
60-69;M;315812;314475;330397;95.6;95.2
70-79;K;292704;292083;301461;97.1;96.9
70-79;M;262967;262383;270600;97.2;97.0
80-89;K;128285;127906;132695;96.7;96.4
80-89;M;93326;93096;96054;97.2;96.9
90+;K;25738;25563;27265;94.4;93.8
90+;M;10420;10370;10872;95.8;95.4
