"Vaccinedato";"geo";"Antal påbegyndt vacc. personer";"Antal borgere";"Påbegyndtvacc. (%)";"Kumuleret antal påbegyndt vacc."
2020-12-01;Nationalt;1;5872009;0.00;1
2020-12-16;Nationalt;1;5872009;0.00;2
2020-12-17;Nationalt;1;5872009;0.00;3
2020-12-18;Nationalt;1;5872009;0.00;4
2020-12-19;Nationalt;1;5872009;0.00;5
2020-12-21;Nationalt;3;5872009;0.00;8
2020-12-22;Nationalt;3;5872009;0.00;11
2020-12-23;Nationalt;4;5872009;0.00;15
2020-12-24;Nationalt;4;5872009;0.00;19
2020-12-26;Nationalt;4;5872009;0.00;23
2020-12-27;Nationalt;5974;5872009;0.10;5997
2020-12-28;Nationalt;1946;5872009;0.14;7943
2020-12-29;Nationalt;8413;5872009;0.28;16356
2020-12-30;Nationalt;10743;5872009;0.46;27099
2020-12-31;Nationalt;5666;5872009;0.56;32765
2021-01-01;Nationalt;2147;5872009;0.59;34912
2021-01-02;Nationalt;8090;5872009;0.73;43002
2021-01-03;Nationalt;5389;5872009;0.82;48391
2021-01-04;Nationalt;2357;5872009;0.86;50748
2021-01-05;Nationalt;12579;5872009;1.08;63327
2021-01-06;Nationalt;18219;5872009;1.39;81546
2021-01-07;Nationalt;16143;5872009;1.66;97689
2021-01-08;Nationalt;7825;5872009;1.80;105514
2021-01-09;Nationalt;1852;5872009;1.83;107366
2021-01-10;Nationalt;820;5872009;1.84;108186
2021-01-11;Nationalt;662;5872009;1.85;108848
2021-01-12;Nationalt;463;5872009;1.86;109311
2021-01-13;Nationalt;12228;5872009;2.07;121539
2021-01-14;Nationalt;17042;5872009;2.36;138581
2021-01-15;Nationalt;14379;5872009;2.60;152960
2021-01-16;Nationalt;4368;5872009;2.68;157328
2021-01-17;Nationalt;2326;5872009;2.72;159654
2021-01-18;Nationalt;3654;5872009;2.78;163308
2021-01-19;Nationalt;2349;5872009;2.82;165657
2021-01-20;Nationalt;1439;5872009;2.85;167096
2021-01-21;Nationalt;1475;5872009;2.87;168571
2021-01-22;Nationalt;641;5872009;2.88;169212
2021-01-23;Nationalt;691;5872009;2.89;169903
2021-01-24;Nationalt;568;5872009;2.90;170471
2021-01-25;Nationalt;276;5872009;2.91;170747
2021-01-26;Nationalt;212;5872009;2.91;170959
2021-01-27;Nationalt;203;5872009;2.91;171162
2021-01-28;Nationalt;230;5872009;2.92;171392
2021-01-29;Nationalt;1054;5872009;2.94;172446
2021-01-30;Nationalt;1129;5872009;2.96;173575
2021-01-31;Nationalt;1145;5872009;2.98;174720
2021-02-01;Nationalt;732;5872009;2.99;175452
2021-02-02;Nationalt;1898;5872009;3.02;177350
2021-02-03;Nationalt;1425;5872009;3.04;178775
2021-02-04;Nationalt;1354;5872009;3.07;180129
2021-02-05;Nationalt;1530;5872009;3.09;181659
2021-02-06;Nationalt;972;5872009;3.11;182631
2021-02-07;Nationalt;1786;5872009;3.14;184417
2021-02-08;Nationalt;2405;5872009;3.18;186822
2021-02-09;Nationalt;3421;5872009;3.24;190243
2021-02-10;Nationalt;3211;5872009;3.29;193454
2021-02-11;Nationalt;5625;5872009;3.39;199079
2021-02-12;Nationalt;11909;5872009;3.59;210988
2021-02-13;Nationalt;6387;5872009;3.70;217375
2021-02-14;Nationalt;6079;5872009;3.81;223454
2021-02-15;Nationalt;13407;5872009;4.03;236861
2021-02-16;Nationalt;12874;5872009;4.25;249735
2021-02-17;Nationalt;10174;5872009;4.43;259909
2021-02-18;Nationalt;11273;5872009;4.62;271182
2021-02-19;Nationalt;13610;5872009;4.85;284792
2021-02-20;Nationalt;10194;5872009;5.02;294986
2021-02-21;Nationalt;10516;5872009;5.20;305502
2021-02-22;Nationalt;13236;5872009;5.43;318738
2021-02-23;Nationalt;14119;5872009;5.67;332857
2021-02-24;Nationalt;13446;5872009;5.90;346303
2021-02-25;Nationalt;14390;5872009;6.14;360693
2021-02-26;Nationalt;35556;5872009;6.75;396249
2021-02-27;Nationalt;6528;5872009;6.86;402777
2021-02-28;Nationalt;10700;5872009;7.04;413477
2021-03-01;Nationalt;19372;5872009;7.37;432849
2021-03-02;Nationalt;16503;5872009;7.65;449352
2021-03-03;Nationalt;12886;5872009;7.87;462238
2021-03-04;Nationalt;17306;5872009;8.17;479544
2021-03-05;Nationalt;16372;5872009;8.45;495916
2021-03-06;Nationalt;14431;5872009;8.69;510347
2021-03-07;Nationalt;11801;5872009;8.89;522148
2021-03-08;Nationalt;9447;5872009;9.05;531595
2021-03-09;Nationalt;10765;5872009;9.24;542360
2021-03-10;Nationalt;11917;5872009;9.44;554277
2021-03-11;Nationalt;4462;5872009;9.52;558739
2021-03-12;Nationalt;3269;5872009;9.57;562008
2021-03-13;Nationalt;4471;5872009;9.65;566479
2021-03-14;Nationalt;1215;5872009;9.67;567694
2021-03-15;Nationalt;2768;5872009;9.71;570462
2021-03-16;Nationalt;6697;5872009;9.83;577159
2021-03-17;Nationalt;10612;5872009;10.0;587771
2021-03-18;Nationalt;14497;5872009;10.3;602268
2021-03-19;Nationalt;7757;5872009;10.4;610025
2021-03-20;Nationalt;2954;5872009;10.4;612979
2021-03-21;Nationalt;4933;5872009;10.5;617912
2021-03-22;Nationalt;4069;5872009;10.6;621981
2021-03-23;Nationalt;6046;5872009;10.7;628027
2021-03-24;Nationalt;9764;5872009;10.9;637791
2021-03-25;Nationalt;7670;5872009;11.0;645461
2021-03-26;Nationalt;6128;5872009;11.1;651589
