"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;467753;458399;51957;79.0;77.4;8.8;592021
Midtjylland;1048385;1026515;132151;78.2;76.5;9.9;1341285
Syddanmark;957984;937517;116117;78.0;76.4;9.5;1227841
Hovedstaden;1406988;1373390;164214;75.3;73.5;8.8;1867795
Sjælland;654258;640524;89603;77.6;76.0;10.6;843067
