"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;477344;464221;41430;74.0;72.0;6.4;644738
Frederiksberg;81984;80240;9144;78.9;77.2;8.8;103941
Ballerup;36591;35796;4819;74.4;72.7;9.8;49209
Brøndby;24246;23568;2993;68.3;66.3;8.4;35524
Dragør;11379;11153;1626;77.9;76.4;11.1;14598
Gentofte;57759;56561;7447;77.9;76.2;10.0;74189
Gladsaxe;51607;50525;6186;74.5;72.9;8.9;69280
Glostrup;17208;16797;2431;73.3;71.5;10.4;23476
Herlev;21183;20665;3065;73.4;71.6;10.6;28845
Albertslund;19154;18489;2415;69.7;67.2;8.8;27500
Hvidovre;38691;37751;4651;72.6;70.8;8.7;53287
Høje Tåstrup;36835;35746;4805;69.7;67.6;9.1;52882
Lyngby-Taarbæk;45139;44222;5719;78.0;76.4;9.9;57874
Rødovre;29944;29179;3610;72.5;70.6;8.7;41307
Ishøj;15136;14562;1790;65.4;62.9;7.7;23158
Tårnby;31887;31198;3481;74.7;73.1;8.2;42677
Vallensbæk;11699;11383;1719;70.8;68.9;10.4;16519
Furesø;31604;31044;4760;76.4;75.0;11.5;41391
Allerød;20466;20174;2952;79.1;77.9;11.4;25888
Fredensborg;31401;30755;4344;76.3;74.7;10.6;41144
Helsingør;48861;47776;6265;77.5;75.8;9.9;63007
Hillerød;41194;40344;5904;77.6;76.0;11.1;53080
Hørsholm;19988;19638;3458;80.6;79.2;14.0;24786
Rudersdal;45171;44324;6576;78.8;77.4;11.5;57290
Egedal;34539;33874;3964;77.9;76.4;8.9;44341
Frederikssund;36483;35756;5027;79.7;78.2;11.0;45752
Greve;38088;37259;4562;75.0;73.4;9.0;50778
Køge;47537;46509;6395;77.0;75.3;10.4;61773
Halsnæs;24727;24227;3738;78.9;77.3;11.9;31330
Roskilde;70346;68962;10032;78.7;77.2;11.2;89377
Solrød;18167;17795;2332;76.6;75.0;9.8;23711
Gribskov;32451;31762;4592;79.0;77.3;11.2;41088
Odsherred;26420;25947;3826;80.3;78.9;11.6;32887
Holbæk;57053;55795;8061;78.4;76.7;11.1;72771
Faxe;28617;28007;3292;77.2;75.5;8.9;37085
Kalundborg;37648;36866;4907;77.7;76.1;10.1;48453
Ringsted;26262;25730;2559;74.8;73.3;7.3;35105
Slagelse;60985;59603;9124;76.6;74.8;11.5;79637
Stevns;18319;17994;2423;78.3;76.9;10.4;23390
Sorø;23510;23073;3204;78.4;77.0;10.7;29972
Lejre;22249;21791;3102;77.8;76.2;10.8;28615
Lolland;31225;30538;4733;77.7;76.0;11.8;40177
Næstved;64970;63562;9056;77.6;76.0;10.8;83687
Guldborgsund;47240;46220;7534;78.4;76.7;12.5;60273
Vordingborg;35622;34873;4461;78.5;76.9;9.8;45376
Bornholm;32317;31660;5303;81.4;79.8;13.4;39694
Middelfart;31604;31085;4333;79.9;78.6;10.9;39573
Assens;32804;32228;3748;80.1;78.7;9.2;40937
Faaborg-Midtfyn;41263;40495;5179;79.6;78.1;10.0;51829
Kerteminde;19260;18926;2389;80.3;79.0;10.0;23972
Nyborg;25770;25324;2945;80.3;78.9;9.2;32092
Odense;161998;158365;20355;78.6;76.8;9.9;206135
Svendborg;47317;46364;7213;80.0;78.4;12.2;59161
Nordfyn;23433;22975;2712;78.9;77.3;9.1;29715
Langeland;10090;9923;1302;81.9;80.5;10.6;12323
Ærø;5047;4979;641;83.7;82.6;10.6;6030
Haderslev;42862;41806;4432;77.4;75.5;8.0;55391
Billund;20673;20234;2309;77.7;76.0;8.7;26618
Sønderborg;57957;56782;6887;78.7;77.1;9.4;73644
Tønder;28321;27644;2808;76.8;75.0;7.6;36878
Esbjerg;89293;87548;10641;77.3;75.8;9.2;115479
Fanø;2818;2782;310;82.2;81.2;9.0;3428
Varde;38399;37679;4236;77.3;75.9;8.5;49656
Vejen;32387;31608;3681;75.9;74.1;8.6;42657
Aabenraa;44456;43397;4683;75.9;74.1;8.0;58600
Fredericia;40084;39234;5291;77.7;76.1;10.3;51567
Horsens;71160;69421;8782;75.5;73.7;9.3;94213
Kolding;71372;69598;8748;76.4;74.5;9.4;93463
Vejle;90776;88541;11274;76.5;74.6;9.5;118693
Herning;69516;67958;9677;77.9;76.1;10.8;89245
Holstebro;46033;44966;6192;78.6;76.8;10.6;58555
Lemvig;15675;15389;1969;80.8;79.3;10.2;19394
Struer;16756;16434;2256;80.6;79.1;10.9;20779
Syddjurs;34664;34132;3816;79.4;78.2;8.7;43645
Norddjurs;29450;28962;3712;79.6;78.3;10.0;36981
Favrskov;38111;37403;4165;78.1;76.6;8.5;48815
Odder;18710;18428;2796;80.4;79.2;12.0;23265
Randers;77225;75562;10211;78.1;76.4;10.3;98880
Silkeborg;75042;73575;9611;77.2;75.7;9.9;97164
Samsø;3099;3046;591;83.2;81.8;15.9;3725
Skanderborg;49559;48714;5586;77.2;75.9;8.7;64185
Århus;278223;271899;32944;78.3;76.5;9.3;355352
Ikast-Brande;31865;31151;4081;76.1;74.4;9.7;41879
Ringkøbing-Skjern;43923;42966;5814;78.1;76.4;10.3;56226
Hedensted;36882;36090;4974;78.4;76.7;10.6;47059
Morsø;16080;15745;2123;80.1;78.4;10.6;20078
Skive;36320;35691;4618;80.6;79.2;10.2;45074
Thisted;34101;33422;3772;79.1;77.5;8.8;43106
Viborg;76172;74728;10356;78.7;77.2;10.7;96849
Brønderslev;28204;27648;2994;78.0;76.5;8.3;36153
Frederikshavn;47131;46373;4648;80.0;78.7;7.9;58887
Vesthimmerland;28194;27654;3146;77.6;76.1;8.7;36351
Læsø;1465;1446;156;82.6;81.5;8.8;1774
Rebild;23529;23081;2435;76.8;75.4;8.0;30626
Mariagerfjord;33136;32488;3974;79.5;78.0;9.5;41674
Jammerbugt;29951;29420;2778;78.5;77.1;7.3;38173
Aalborg;174958;171059;19370;79.1;77.3;8.8;221315
Hjørring;51004;50063;6561;79.8;78.4;10.3;63884
