"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-19;København;K;245056;238347;23004;244830;238211;22344;226;136;660
2021-11-19;København;M;232288;225874;18426;232123;225776;17958;165;98;468
2021-11-19;Frederiksberg;K;43782;42864;5287;43757;42847;5114;25;17;173
2021-11-19;Frederiksberg;M;38202;37376;3857;38185;37370;3729;17;6;128
2021-11-19;Ballerup;K;19016;18590;2972;19002;18586;2830;14;4;142
2021-11-19;Ballerup;M;17575;17206;1847;17567;17193;1742;8;13;105
2021-11-19;Brøndby;K;12599;12246;1852;12589;12240;1798;10;6;54
2021-11-19;Brøndby;M;11647;11322;1141;11640;11315;1104;7;7;37
2021-11-19;Dragør;K;5900;5780;957;5899;5780;952;1;0;5
2021-11-19;Dragør;M;5479;5373;669;5478;5372;664;1;1;5
2021-11-19;Gentofte;K;30507;29901;4554;30489;29896;4375;18;5;179
2021-11-19;Gentofte;M;27252;26660;2893;27232;26656;2772;20;4;121
2021-11-19;Gladsaxe;K;26326;25790;3980;26313;25787;3872;13;3;108
2021-11-19;Gladsaxe;M;25281;24735;2206;25263;24727;2122;18;8;84
2021-11-19;Glostrup;K;8814;8610;1530;8807;8609;1469;7;1;61
2021-11-19;Glostrup;M;8394;8187;901;8382;8182;841;12;5;60
2021-11-19;Herlev;K;11055;10798;2021;11043;10798;1917;12;0;104
2021-11-19;Herlev;M;10128;9867;1044;10115;9864;973;13;3;71
2021-11-19;Albertslund;K;9801;9484;1440;9793;9482;1407;8;2;33
2021-11-19;Albertslund;M;9353;9005;975;9343;8998;942;10;7;33
2021-11-19;Hvidovre;K;19890;19388;2912;19876;19380;2822;14;8;90
2021-11-19;Hvidovre;M;18801;18363;1739;18788;18356;1676;13;7;63
2021-11-19;Høje Tåstrup;K;18623;18107;2880;18600;18096;2757;23;11;123
2021-11-19;Høje Tåstrup;M;18212;17639;1925;18200;17635;1828;12;4;97
2021-11-19;Lyngby-Taarbæk;K;23205;22750;3577;23189;22746;3481;16;4;96
2021-11-19;Lyngby-Taarbæk;M;21934;21472;2142;21913;21465;2071;21;7;71
2021-11-19;Rødovre;K;15594;15221;2338;15580;15220;2255;14;1;83
2021-11-19;Rødovre;M;14350;13958;1272;14332;13953;1223;18;5;49
2021-11-19;Ishøj;K;7739;7442;1071;7730;7443;1053;9;-1;18
2021-11-19;Ishøj;M;7397;7120;719;7394;7116;707;3;4;12
2021-11-19;Tårnby;K;16403;16083;2183;16394;16075;2170;9;8;13
2021-11-19;Tårnby;M;15484;15115;1298;15477;15109;1291;7;6;7
2021-11-19;Vallensbæk;K;5940;5784;995;5940;5783;955;0;1;40
2021-11-19;Vallensbæk;M;5759;5599;724;5754;5594;692;5;5;32
2021-11-19;Furesø;K;16388;16096;2943;16373;16091;2792;15;5;151
2021-11-19;Furesø;M;15216;14948;1817;15209;14944;1704;7;4;113
2021-11-19;Allerød;K;10529;10382;1763;10528;10383;1685;1;-1;78
2021-11-19;Allerød;M;9937;9792;1189;9931;9792;1125;6;0;64
2021-11-19;Fredensborg;K;16402;16080;2645;16387;16074;2488;15;6;157
2021-11-19;Fredensborg;M;14999;14675;1699;14991;14670;1572;8;5;127
2021-11-19;Helsingør;K;25564;25010;3832;25532;24999;3539;32;11;293
2021-11-19;Helsingør;M;23297;22766;2433;23274;22761;2209;23;5;224
2021-11-19;Hillerød;K;21202;20778;3620;21191;20769;3455;11;9;165
2021-11-19;Hillerød;M;19992;19566;2284;19971;19556;2154;21;10;130
2021-11-19;Hørsholm;K;10761;10579;2070;10755;10574;1993;6;5;77
2021-11-19;Hørsholm;M;9227;9059;1388;9223;9060;1305;4;-1;83
2021-11-19;Rudersdal;K;23392;22952;3909;23381;22950;3744;11;2;165
2021-11-19;Rudersdal;M;21779;21372;2667;21771;21364;2546;8;8;121
2021-11-19;Egedal;K;17609;17263;2455;17591;17250;2310;18;13;145
2021-11-19;Egedal;M;16930;16611;1509;16921;16596;1391;9;15;118
2021-11-19;Frederikssund;K;18737;18373;3058;18722;18359;2763;15;14;295
2021-11-19;Frederikssund;M;17746;17383;1969;17718;17362;1779;28;21;190
2021-11-19;Greve;K;19569;19147;2709;19557;19140;2611;12;7;98
2021-11-19;Greve;M;18519;18112;1853;18507;18099;1792;12;13;61
2021-11-19;Køge;K;24274;23755;3862;24272;23753;3726;2;2;136
2021-11-19;Køge;M;23263;22754;2533;23251;22750;2420;12;4;113
2021-11-19;Halsnæs;K;12622;12379;2220;12613;12370;2152;9;9;68
2021-11-19;Halsnæs;M;12105;11848;1518;12094;11837;1467;11;11;51
2021-11-19;Roskilde;K;36329;35644;6021;36307;35638;5806;22;6;215
2021-11-19;Roskilde;M;34017;33318;4011;34012;33314;3822;5;4;189
2021-11-19;Solrød;K;9370;9172;1366;9364;9167;1320;6;5;46
2021-11-19;Solrød;M;8797;8623;966;8794;8621;932;3;2;34
2021-11-19;Gribskov;K;16430;16084;2704;16415;16072;2592;15;12;112
2021-11-19;Gribskov;M;16021;15678;1888;16007;15675;1765;14;3;123
2021-11-19;Odsherred;K;13313;13089;2197;13308;13087;2136;5;2;61
2021-11-19;Odsherred;M;13107;12858;1629;13097;12857;1577;10;1;52
2021-11-19;Holbæk;K;29112;28448;4943;29072;28427;4803;40;21;140
2021-11-19;Holbæk;M;27941;27347;3118;27919;27331;3008;22;16;110
2021-11-19;Faxe;K;14332;14034;1924;14319;14034;1882;13;0;42
2021-11-19;Faxe;M;14285;13973;1368;14273;13970;1327;12;3;41
2021-11-19;Kalundborg;K;18950;18588;2869;18935;18588;2728;15;0;141
