"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90639;0.0;0.0
0-2;M;1;0;95628;0.0;0.0
3-5;K;3;1;91101;0.0;0.0
3-5;M;4;2;96199;0.0;0.0
6-11;K;23;10;179483;0.0;0.0
6-11;M;22;10;188975;0.0;0.0
12-15;K;107338;98164;142661;75.2;68.8
12-15;M;112942;103394;150154;75.2;68.9
16-19;K;120385;117471;137010;87.9;85.7
16-19;M;122596;118598;142184;86.2;83.4
20-39;K;594519;568706;731917;81.2;77.7
20-39;M;600637;575205;760591;79.0;75.6
40-64;K;882789;873468;952245;92.7;91.7
40-64;M;872898;863185;954264;91.5;90.5
65-79;K;449983;448835;465033;96.8;96.5
65-79;M;413451;412359;427038;96.8;96.6
80+;K;154023;153469;159961;96.3;95.9
80+;M;103746;103466;106926;97.0;96.8
