Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.633.480; 162.371;   8.275;   1.368
Sjælland; 685.095;  44.140;   2.804;     413
Syddanmark;1.022.715;  48.852;   2.048;     230
Midtjylland;1.118.073;  63.037;   2.515;     367
Nordjylland; 514.612;  26.161;   1.088;     193
