"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18449;13759
Hovedstaden;0-9;M;19546;14641
Hovedstaden;10-19;K;81292;77721
Hovedstaden;10-19;M;83816;79882
Hovedstaden;20-29;K;122967;120680
Hovedstaden;20-29;M;116267;113530
Hovedstaden;30-39;K;110856;108866
Hovedstaden;30-39;M;108165;106153
Hovedstaden;40-49;K;112725;111674
Hovedstaden;40-49;M;109471;108464
Hovedstaden;50-59;K;113247;112674
Hovedstaden;50-59;M;112410;111787
Hovedstaden;60-69;K;88927;88660
Hovedstaden;60-69;M;84248;83963
Hovedstaden;70-79;K;81981;81808
Hovedstaden;70-79;M;68063;67942
Hovedstaden;80-89;K;35723;35629
Hovedstaden;80-89;M;23322;23268
Hovedstaden;90+;K;7115;7076
Hovedstaden;90+;M;2487;2479
Midtjylland;0-9;K;16256;12875
Midtjylland;0-9;M;17354;13761
Midtjylland;10-19;K;69824;67752
Midtjylland;10-19;M;71822;69523
Midtjylland;20-29;K;79884;78710
Midtjylland;20-29;M;81714;80124
Midtjylland;30-39;K;68410;67422
Midtjylland;30-39;M;69173;68134
Midtjylland;40-49;K;77879;77462
Midtjylland;40-49;M;76942;76464
Midtjylland;50-59;K;84491;84230
Midtjylland;50-59;M;84962;84695
Midtjylland;60-69;K;74413;74269
Midtjylland;60-69;M;72835;72703
Midtjylland;70-79;K;63680;63623
Midtjylland;70-79;M;58836;58782
Midtjylland;80-89;K;27226;27178
Midtjylland;80-89;M;20437;20408
Midtjylland;90+;K;5174;5155
Midtjylland;90+;M;2195;2189
Nordjylland;0-9;K;6626;5241
Nordjylland;0-9;M;6928;5424
Nordjylland;10-19;K;28889;27987
Nordjylland;10-19;M;30320;29254
Nordjylland;20-29;K;31584;31013
Nordjylland;20-29;M;35327;34497
Nordjylland;30-39;K;27945;27516
Nordjylland;30-39;M;28874;28340
Nordjylland;40-49;K;32465;32278
Nordjylland;40-49;M;32619;32396
Nordjylland;50-59;K;38483;38345
Nordjylland;50-59;M;38907;38761
Nordjylland;60-69;K;35795;35706
Nordjylland;60-69;M;35282;35205
Nordjylland;70-79;K;31568;31528
Nordjylland;70-79;M;29660;29620
Nordjylland;80-89;K;13832;13814
Nordjylland;80-89;M;10501;10486
Nordjylland;90+;K;2580;2571
Nordjylland;90+;M;1137;1132
Sjælland;0-9;K;8159;6481
Sjælland;0-9;M;8837;7026
Sjælland;10-19;K;40936;39649
Sjælland;10-19;M;43438;41968
Sjælland;20-29;K;30299;29575
Sjælland;20-29;M;33044;32134
Sjælland;30-39;K;37495;36773
Sjælland;30-39;M;36306;35595
Sjælland;40-49;K;50663;50287
Sjælland;40-49;M;48532;48154
Sjælland;50-59;K;60041;59770
Sjælland;50-59;M;60240;60023
Sjælland;60-69;K;52847;52714
Sjælland;60-69;M;51364;51227
Sjælland;70-79;K;49297;49226
Sjælland;70-79;M;44673;44612
Sjælland;80-89;K;19659;19614
Sjælland;80-89;M;14653;14637
Sjælland;90+;K;3398;3379
Sjælland;90+;M;1402;1397
Syddanmark;0-9;K;13576;11007
Syddanmark;0-9;M;14565;11867
Syddanmark;10-19;K;62135;60277
Syddanmark;10-19;M;64182;62126
Syddanmark;20-29;K;57303;56189
Syddanmark;20-29;M;61616;60163
Syddanmark;30-39;K;57582;56659
Syddanmark;30-39;M;57680;56662
Syddanmark;40-49;K;71268;70794
Syddanmark;40-49;M;69656;69108
Syddanmark;50-59;K;82035;81741
Syddanmark;50-59;M;82817;82512
Syddanmark;60-69;K;73516;73374
Syddanmark;60-69;M;72661;72505
Syddanmark;70-79;K;65055;64979
Syddanmark;70-79;M;59835;59767
Syddanmark;80-89;K;29288;29246
Syddanmark;80-89;M;21685;21657
Syddanmark;90+;K;5553;5525
Syddanmark;90+;M;2265;2261
