"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499322;491114;376712;84.4;83.0;63.7;591594
Midtjylland;1123507;1105459;841161;83.6;82.3;62.6;1343729
Syddanmark;1024273;1008419;769557;83.3;82.0;62.6;1229110
Hovedstaden;1501077;1470656;1084991;80.2;78.6;58.0;1870965
Sjælland;695283;684241;527758;82.4;81.1;62.5;843877
