"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;508103;497531;351337;78.6;76.9;54.3;646576
Frederiksberg;86764;85207;64047;83.6;82.1;61.7;103763
Ballerup;39059;38249;28910;79.2;77.6;58.6;49316
Brøndby;25874;25168;18209;72.3;70.3;50.9;35784
Dragør;12243;11967;9155;84.0;82.1;62.8;14579
Gentofte;62211;61030;46040;83.8;82.2;62.0;74267
Gladsaxe;55457;54268;39742;80.1;78.4;57.4;69233
Glostrup;18258;17867;13115;77.8;76.1;55.9;23477
Herlev;22620;22072;16345;78.6;76.7;56.8;28773
Albertslund;20608;20003;14034;74.7;72.5;50.9;27589
Hvidovre;41488;40446;29309;78.0;76.0;55.1;53190
Høje Tåstrup;39881;38932;27910;74.7;72.9;52.3;53387
Lyngby-Taarbæk;48595;47573;35897;83.9;82.2;62.0;57893
Rødovre;32140;31377;22861;77.5;75.7;55.2;41450
Ishøj;16200;15716;10706;69.7;67.6;46.0;23252
Tårnby;34250;33550;24907;80.2;78.5;58.3;42731
Vallensbæk;12535;12237;8802;76.0;74.2;53.4;16494
Furesø;34215;33535;25490;82.6;81.0;61.6;41413
Allerød;21992;21623;16684;85.1;83.7;64.6;25846
Fredensborg;33571;32982;25229;81.4;79.9;61.2;41255
Helsingør;51701;50801;39558;82.2;80.8;62.9;62873
Hillerød;44067;43313;33044;82.7;81.2;62.0;53313
Hørsholm;21100;20764;16350;85.3;84.0;66.1;24723
Rudersdal;48421;47537;36609;84.6;83.0;63.9;57252
Egedal;36972;36353;27236;83.1;81.7;61.2;44491
Frederikssund;38508;37868;29421;84.0;82.6;64.2;45828
Greve;40774;40013;29985;80.1;78.6;58.9;50881
Køge;50453;49516;37635;81.8;80.3;61.0;61679
Halsnæs;26018;25529;20139;82.9;81.4;64.2;31370
Roskilde;75074;73861;56272;83.8;82.4;62.8;89583
Solrød;19487;19147;14382;81.8;80.4;60.4;23829
Gribskov;34190;33647;26668;83.0;81.7;64.7;41203
Odsherred;27628;27263;21948;84.2;83.1;66.9;32817
Holbæk;60743;59804;45709;83.2;82.0;62.6;72969
Faxe;30447;29936;23094;81.9;80.5;62.1;37166
Kalundborg;39780;39173;30565;82.3;81.0;63.2;48356
Ringsted;28234;27771;21040;80.1;78.8;59.7;35242
Slagelse;65051;63926;49229;81.6;80.2;61.8;79703
Stevns;19527;19209;15112;82.8;81.5;64.1;23581
Sorø;25159;24810;19139;83.9;82.7;63.8;29987
Lejre;23723;23373;18028;83.0;81.8;63.1;28580
Lolland;32776;32306;25580;82.0;80.8;64.0;39992
Næstved;69313;68283;52481;82.5;81.3;62.5;83980
Guldborgsund;49692;49020;38581;82.5;81.4;64.0;60255
Vordingborg;37422;36830;28978;82.7;81.3;64.0;45277
Bornholm;34036;33511;27237;85.9;84.5;68.7;39644
Middelfart;33927;33450;26222;85.6;84.3;66.1;39657
Assens;34942;34418;26680;85.4;84.1;65.2;40916
Faaborg-Midtfyn;44246;43566;33684;85.3;84.0;64.9;51889
Kerteminde;20486;20143;15799;85.5;84.0;65.9;23970
Nyborg;27531;27121;21146;85.7;84.5;65.9;32107
Odense;172267;169336;126753;83.5;82.1;61.5;206219
Svendborg;50576;49848;38625;85.4;84.2;65.2;59213
Nordfyn;24984;24576;18928;84.0;82.6;63.6;29744
Langeland;10563;10443;8633;85.9;84.9;70.2;12304
Ærø;5268;5184;4390;87.5;86.1;72.9;6020
Haderslev;45612;44909;34241;82.5;81.2;61.9;55288
Billund;22191;21859;16736;83.1;81.8;62.6;26716
Sønderborg;61636;60728;47146;83.6;82.4;64.0;73719
Tønder;29951;29507;22769;81.3;80.1;61.8;36826
Esbjerg;95689;94228;71591;82.9;81.6;62.0;115441
Fanø;2972;2937;2412;86.6;85.6;70.3;3430
Varde;41175;40519;31329;82.9;81.5;63.1;49688
Vejen;34933;34338;25872;82.0;80.6;60.7;42592
Aabenraa;47224;46585;35919;80.4;79.3;61.2;58709
Fredericia;43060;42389;32666;83.4;82.1;63.3;51624
Horsens;77153;75956;56728;81.2;80.0;59.7;94968
Kolding;76990;75829;56222;82.2;81.0;60.0;93641
Vejle;98050;96506;71794;82.1;80.8;60.1;119397
Herning;74675;73528;55302;83.6;82.3;61.9;89326
Holstebro;49445;48655;36884;84.4;83.1;63.0;58580
Lemvig;16541;16345;12994;85.4;84.3;67.1;19378
Struer;17845;17580;13708;86.0;84.7;66.0;20757
Syddjurs;36979;36447;28754;84.5;83.3;65.7;43739
Norddjurs;31266;30810;24496;84.7;83.4;66.3;36927
Favrskov;41415;40746;30652;84.6;83.2;62.6;48966
Odder;19995;19708;15654;85.6;84.4;67.0;23364
Randers;82557;81255;61938;83.3;82.0;62.5;99073
Silkeborg;81022;79668;60641;83.0;81.6;62.1;97675
Samsø;3245;3213;2666;87.5;86.6;71.9;3710
Skanderborg;53940;52963;40201;83.7;82.2;62.4;64458
Århus;295812;290469;219541;83.2;81.7;61.7;355646
Ikast-Brande;34361;33868;25333;82.0;80.8;60.4;41923
Ringkøbing-Skjern;46906;46215;35431;83.4;82.2;63.0;56226
Hedensted;39575;39064;29833;84.0;82.9;63.3;47132
Morsø;17046;16743;12977;85.0;83.4;64.7;20064
Skive;38756;38212;29514;86.1;84.9;65.6;45023
Thisted;36318;35760;27823;84.4;83.1;64.6;43053
Viborg;82019;80757;60891;84.7;83.4;62.9;96858
Brønderslev;30530;30024;22753;84.2;82.8;62.7;36274
Frederikshavn;50138;49426;39139;85.3;84.1;66.6;58805
Vesthimmerland;30022;29569;22778;82.9;81.6;62.9;36232
Læsø;1537;1521;1313;86.2;85.3;73.6;1784
Rebild;25469;25023;18870;83.0;81.6;61.5;30683
Mariagerfjord;35241;34601;26862;84.6;83.1;64.5;41647
Jammerbugt;32294;31726;24616;84.7;83.2;64.5;38142
Aalborg;186285;183078;138198;84.2;82.8;62.5;221149
Hjørring;54442;53643;41383;85.4;84.1;64.9;63761
