"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;63066;49363;301377;20.9;16.4
0-9;M;67230;52719;318229;21.1;16.6
10-19;K;283076;273386;347427;81.5;78.7
10-19;M;293578;282753;362989;80.9;77.9
20-29;K;322037;316167;382846;84.1;82.6
20-29;M;327968;320448;399054;82.2;80.3
30-39;K;302288;297236;352164;85.8;84.4
30-39;M;300198;294884;364518;82.4;80.9
40-49;K;345000;342495;375086;92.0;91.3
40-49;M;337220;334586;376177;89.6;88.9
50-59;K;378297;376760;401609;94.2;93.8
50-59;M;379336;377778;405043;93.7;93.3
60-69;K;325498;324723;339058;96.0;95.8
60-69;M;316390;315603;329299;96.1;95.8
70-79;K;291581;291164;299384;97.4;97.3
70-79;M;261067;260723;267693;97.5;97.4
80-89;K;125728;125481;129498;97.1;96.9
80-89;M;90598;90456;92886;97.5;97.4
90+;K;23820;23706;25086;95.0;94.5
90+;M;9486;9458;9852;96.3;96.0
