"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;59502;46343;297813;20.0;15.6
0-9;M;63472;49528;314471;20.2;15.7
10-19;K;265168;255078;329519;80.5;77.4
10-19;M;276534;265392;345945;79.9;76.7
20-29;K;322950;317162;383759;84.2;82.6
20-29;M;328485;320968;399571;82.2;80.3
30-39;K;301711;296542;351587;85.8;84.3
30-39;M;301452;296018;365772;82.4;80.9
40-49;K;336793;334285;366879;91.8;91.1
40-49;M;328283;325602;367240;89.4;88.7
50-59;K;377900;376314;401212;94.2;93.8
50-59;M;379479;377883;405186;93.7;93.3
60-69;K;329309;328520;342869;96.0;95.8
60-69;M;319853;319034;332762;96.1;95.9
70-79;K;298106;297658;305909;97.4;97.3
70-79;M;269157;268805;275783;97.6;97.5
80-89;K;138420;138173;142190;97.3;97.2
80-89;M;103300;103155;105588;97.8;97.7
90+;K;30532;30406;31798;96.0;95.6
90+;M;13056;13023;13422;97.3;97.0
