"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-03-08;København;K;260734;255569;185178;260742;255566;185044;-8;3;134
2022-03-08;København;M;247369;241962;166159;247379;241966;166058;-10;-4;101
2022-03-08;Frederiksberg;K;46176;45425;35032;46180;45430;35012;-4;-5;20
2022-03-08;Frederiksberg;M;40588;39782;29015;40589;39783;29004;-1;-1;11
2022-03-08;Ballerup;K;20246;19833;15296;20250;19834;15291;-4;-1;5
2022-03-08;Ballerup;M;18813;18416;13614;18813;18417;13610;0;-1;4
2022-03-08;Brøndby;K;13430;13073;9594;13430;13072;9591;0;1;3
2022-03-08;Brøndby;M;12444;12095;8615;12444;12095;8615;0;0;0
2022-03-08;Dragør;K;6321;6178;4820;6321;6178;4820;0;0;0
2022-03-08;Dragør;M;5922;5789;4335;5923;5790;4336;-1;-1;-1
2022-03-08;Gentofte;K;32770;32195;24725;32772;32197;24719;-2;-2;6
2022-03-08;Gentofte;M;29441;28835;21315;29442;28834;21309;-1;1;6
2022-03-08;Gladsaxe;K;28210;27645;20680;28209;27647;20673;1;-2;7
2022-03-08;Gladsaxe;M;27247;26623;19062;27245;26619;19050;2;4;12
2022-03-08;Glostrup;K;9304;9111;6848;9303;9110;6845;1;1;3
2022-03-08;Glostrup;M;8954;8756;6267;8954;8755;6266;0;1;1
2022-03-08;Herlev;K;11766;11493;8733;11766;11494;8729;0;-1;4
2022-03-08;Herlev;M;10854;10579;7612;10856;10579;7610;-2;0;2
2022-03-08;Albertslund;K;10540;10255;7298;10539;10254;7296;1;1;2
2022-03-08;Albertslund;M;10068;9748;6736;10066;9746;6735;2;2;1
2022-03-08;Hvidovre;K;21274;20741;15320;21274;20741;15317;0;0;3
2022-03-08;Hvidovre;M;20214;19705;13989;20214;19704;13984;0;1;5
2022-03-08;Høje Tåstrup;K;20072;19611;14287;20076;19613;14282;-4;-2;5
2022-03-08;Høje Tåstrup;M;19809;19321;13623;19810;19321;13620;-1;0;3
2022-03-08;Lyngby-Taarbæk;K;24855;24379;18869;24857;24380;18865;-2;-1;4
2022-03-08;Lyngby-Taarbæk;M;23740;23194;17028;23739;23193;17021;1;1;7
2022-03-08;Rødovre;K;16705;16350;12215;16708;16349;12211;-3;1;4
2022-03-08;Rødovre;M;15435;15027;10646;15437;15025;10644;-2;2;2
2022-03-08;Ishøj;K;8235;8002;5489;8235;8001;5487;0;1;2
2022-03-08;Ishøj;M;7965;7714;5217;7965;7712;5216;0;2;1
2022-03-08;Tårnby;K;17562;17235;13083;17563;17236;13081;-1;-1;2
2022-03-08;Tårnby;M;16688;16315;11824;16690;16317;11825;-2;-2;-1
2022-03-08;Vallensbæk;K;6364;6213;4541;6364;6212;4541;0;1;0
2022-03-08;Vallensbæk;M;6171;6024;4261;6173;6025;4262;-2;-1;-1
2022-03-08;Furesø;K;17678;17334;13435;17678;17335;13435;0;-1;0
2022-03-08;Furesø;M;16537;16201;12055;16540;16204;12058;-3;-3;-3
2022-03-08;Allerød;K;11276;11106;8674;11277;11107;8675;-1;-1;-1
2022-03-08;Allerød;M;10716;10517;8010;10717;10518;8011;-1;-1;-1
2022-03-08;Fredensborg;K;17494;17218;13313;17498;17220;13313;-4;-2;0
2022-03-08;Fredensborg;M;16077;15764;11916;16080;15765;11916;-3;-1;0
2022-03-08;Helsingør;K;26965;26535;21001;26967;26538;20996;-2;-3;5
2022-03-08;Helsingør;M;24736;24266;18557;24736;24265;18551;0;1;6
2022-03-08;Hillerød;K;22687;22356;17300;22690;22359;17302;-3;-3;-2
2022-03-08;Hillerød;M;21380;20957;15744;21382;20959;15745;-2;-2;-1
2022-03-08;Hørsholm;K;11294;11134;8892;11297;11137;8893;-3;-3;-1
2022-03-08;Hørsholm;M;9806;9630;7458;9805;9630;7458;1;0;0
2022-03-08;Rudersdal;K;24943;24497;19181;24944;24497;19180;-1;0;1
2022-03-08;Rudersdal;M;23478;23040;17428;23478;23039;17426;0;1;2
2022-03-08;Egedal;K;18810;18521;14089;18812;18522;14088;-2;-1;1
2022-03-08;Egedal;M;18162;17832;13147;18164;17835;13148;-2;-3;-1
2022-03-08;Frederikssund;K;19717;19430;15386;19719;19432;15387;-2;-2;-1
2022-03-08;Frederikssund;M;18791;18438;14035;18793;18440;14034;-2;-2;1
2022-03-08;Greve;K;20864;20493;15551;20866;20495;15550;-2;-2;1
