"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17046;107
AstraZeneca Covid-19 vaccine;Midtjylland;34071;267
AstraZeneca Covid-19 vaccine;Syddanmark;30861;507
AstraZeneca Covid-19 vaccine;Hovedstaden;46604;1274
AstraZeneca Covid-19 vaccine;Sjælland;24050;480
Janssen COVID-19 vaccine;Nordjylland;3697;458
Janssen COVID-19 vaccine;Midtjylland;9917;971
Janssen COVID-19 vaccine;Syddanmark;7634;912
Janssen COVID-19 vaccine;Hovedstaden;22825;2672
Janssen COVID-19 vaccine;Sjælland;2855;422
Moderna Covid-19 Vaccine;Nordjylland;71453;73743
Moderna Covid-19 Vaccine;Midtjylland;127764;134661
Moderna Covid-19 Vaccine;Syddanmark;136302;169627
Moderna Covid-19 Vaccine;Hovedstaden;153331;169341
Moderna Covid-19 Vaccine;Sjælland;85423;108579
Pfizer BioNTech Covid-19 vacc;Nordjylland;407126;416806
Pfizer BioNTech Covid-19 vacc;Midtjylland;951755;969560
Pfizer BioNTech Covid-19 vacc;Syddanmark;849476;837373
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278317;1297369
Pfizer BioNTech Covid-19 vacc;Sjælland;582955;574760
