Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.500.772; 104.186;   6.361;   1.278
Sjælland; 624.825;  30.777;   2.247;     388
Syddanmark; 932.665;  30.856;   1.487;     208
Midtjylland;1.007.002;  38.802;   1.856;     341
Nordjylland; 480.549;  15.064;     810;     178
I alt i Danmark;4.545.813; 219.685;  12.761;   2.393
