"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,36280,17049,5.7,2.7,638618
Frederiksberg,7767,3521,7.5,3.4,103431
Ballerup,3841,1362,7.8,2.8,49121
Brøndby,2892,1035,8.2,2.9,35353
Dragør,1202,437,8.3,3.0,14540
Gentofte,6035,2821,8.1,3.8,74377
Gladsaxe,5673,2498,8.2,3.6,69190
Glostrup,2301,1122,9.8,4.8,23444
Herlev,2580,1119,9.0,3.9,28764
Albertslund,2210,1012,8.1,3.7,27238
Hvidovre,4826,2131,9.0,4.0,53339
Høje Tåstrup,4047,1909,7.8,3.7,52111
Lyngby-Taarbæk,4958,1962,8.7,3.5,56786
Rødovre,3203,1203,7.8,2.9,41172
Ishøj,1600,675,6.9,2.9,23047
Tårnby,3482,1397,8.2,3.3,42710
Vallensbæk,1380,564,8.3,3.4,16548
Furesø,3685,1479,9.0,3.6,40943
Allerød,2294,841,8.9,3.3,25861
Fredensborg,3557,1561,8.7,3.8,40932
Helsingør,5747,2309,9.1,3.7,63036
Hillerød,4915,2276,9.5,4.4,51712
Hørsholm,2454,997,9.9,4.0,24852
Rudersdal,5087,2001,8.9,3.5,56969
Egedal,3195,1204,7.3,2.8,43694
Frederikssund,4086,1550,9.0,3.4,45538
Greve,3660,1458,7.2,2.9,50555
Køge,4724,1891,7.7,3.1,61542
Halsnæs,2807,1106,8.9,3.5,31412
Roskilde,7369,2926,8.3,3.3,88771
Solrød,1685,691,7.2,2.9,23452
Gribskov,3770,1597,9.2,3.9,40971
Odsherred,2982,994,9.1,3.0,32903
Holbæk,6235,2325,8.7,3.2,71984
Faxe,2843,994,7.7,2.7,36751
Kalundborg,3849,1107,8.0,2.3,48399
Ringsted,2540,953,7.3,2.7,34891
Slagelse,7039,2510,8.9,3.2,79232
Stevns,1832,600,7.9,2.6,23142
Sorø,2586,905,8.6,3.0,29992
Lejre,2270,842,8.0,3.0,28276
Lolland,3460,1298,8.6,3.2,40441
Næstved,7262,2719,8.7,3.3,83285
Guldborgsund,5572,2064,9.2,3.4,60272
Vordingborg,3782,1266,8.4,2.8,45199
Bornholm,3383,1543,8.5,3.9,39722
Middelfart,3767,1500,9.6,3.8,39240
Assens,3199,1156,7.8,2.8,40854
Faaborg-Midtfyn,4293,1593,8.3,3.1,51613
Kerteminde,1956,725,8.2,3.0,23845
Nyborg,2682,908,8.4,2.8,31954
Odense,16005,6477,7.8,3.2,205148
Svendborg,6153,2943,10.5,5.0,58724
Nordfyn,2277,805,7.7,2.7,29532
Langeland,1252,543,10.1,4.4,12359
Ærø,656,306,11.0,5.1,5976
Haderslev,4197,1810,7.6,3.3,55333
Billund,1941,753,7.3,2.8,26526
Sønderborg,5694,2444,7.7,3.3,73792
Tønder,2894,1250,7.8,3.4,37045
Esbjerg,10569,3814,9.1,3.3,115538
Fanø,331,124,9.6,3.6,3446
Varde,4526,1449,9.1,2.9,49651
Vejen,3716,1305,8.7,3.1,42762
Aabenraa,4151,1711,7.1,2.9,58552
Fredericia,4435,1885,8.6,3.7,51321
Horsens,6927,2681,7.5,2.9,92529
Kolding,7217,2955,7.8,3.2,93096
Vejle,9121,3858,7.8,3.3,117395
Herning,7269,3173,8.1,3.6,89267
Holstebro,5020,1924,8.6,3.3,58687
Lemvig,1677,707,8.6,3.6,19582
Struer,1879,670,9.0,3.2,20816
Syddjurs,3519,1299,8.1,3.0,43243
Norddjurs,3313,1478,9.0,4.0,36957
Favrskov,3671,1433,7.6,3.0,48432
Odder,2112,866,9.2,3.8,22982
Randers,8483,3464,8.6,3.5,98299
Silkeborg,7496,3090,7.8,3.2,95865
Samsø,488,444,13.3,12.1,3681
Skanderborg,4484,1628,7.1,2.6,63429
Århus,26273,9184,7.5,2.6,352421
Ikast-Brande,2867,1139,6.9,2.7,41493
Ringkøbing-Skjern,4562,1874,8.1,3.3,56131
Hedensted,3548,1382,7.6,3.0,46813
Morsø,2257,1034,11.3,5.2,20053
Skive,3980,1620,8.8,3.6,45418
Thisted,3704,1387,8.6,3.2,43115
Viborg,8625,3569,8.9,3.7,96628
Brønderslev,3080,1246,8.5,3.5,36108
Frederikshavn,4930,2006,8.4,3.4,58983
Vesthimmerland,3335,1184,9.2,3.3,36361
Læsø,203,108,11.4,6.1,1774
Rebild,2382,938,7.8,3.1,30506
Mariagerfjord,3699,1171,8.9,2.8,41568
Jammerbugt,3036,1120,8.0,2.9,38112
Aalborg,17756,6846,8.1,3.1,219721
Hjørring,5876,2217,9.2,3.5,64120
