"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,10483,0
AstraZeneca Covid-19 vaccine,Midtjylland,21528,0
AstraZeneca Covid-19 vaccine,Syddanmark,21299,0
AstraZeneca Covid-19 vaccine,Hovedstaden,25260,0
AstraZeneca Covid-19 vaccine,Sjælland,16633,0
Moderna Covid-19 Vaccine,Nordjylland,3338,1
Moderna Covid-19 Vaccine,Midtjylland,3710,225
Moderna Covid-19 Vaccine,Syddanmark,5228,2348
Moderna Covid-19 Vaccine,Hovedstaden,2192,6
Moderna Covid-19 Vaccine,Sjælland,1239,3
Pfizer BioNTech Covid-19 vacc,Nordjylland,36437,19256
Pfizer BioNTech Covid-19 vacc,Midtjylland,80955,41400
Pfizer BioNTech Covid-19 vacc,Syddanmark,74505,37966
Pfizer BioNTech Covid-19 vacc,Hovedstaden,111805,60275
Pfizer BioNTech Covid-19 vacc,Sjælland,51818,25540
