"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,270987,130117,42.4,20.4,639107
Frederiksberg,53097,28354,51.6,27.5,102999
Ballerup,26986,14326,55.0,29.2,49069
Brøndby,18140,10260,51.1,28.9,35468
Dragør,8994,4926,61.7,33.8,14576
Gentofte,43654,22816,58.8,30.7,74251
Gladsaxe,36085,18588,52.3,27.0,68944
Glostrup,12311,6746,52.4,28.7,23499
Herlev,15450,8478,53.6,29.4,28820
Albertslund,13624,7455,50.2,27.5,27137
Hvidovre,27656,14886,51.9,27.9,53261
Høje Tåstrup,25924,14086,49.4,26.9,52428
Lyngby-Taarbæk,32421,16521,56.8,28.9,57083
Rødovre,21100,11487,51.2,27.9,41207
Ishøj,10657,5855,46.2,25.4,23054
Tårnby,23551,12292,55.2,28.8,42683
Vallensbæk,8511,4722,51.4,28.5,16570
Furesø,23880,12687,58.0,30.8,41173
Allerød,15558,7874,60.0,30.4,25933
Fredensborg,23815,13345,58.0,32.5,41044
Helsingør,37114,21364,58.8,33.8,63157
Hillerød,29976,15816,57.6,30.4,52019
Hørsholm,15811,9056,63.8,36.5,24801
Rudersdal,34361,17843,60.1,31.2,57159
Egedal,25511,12567,57.9,28.5,44055
Frederikssund,28190,15884,61.6,34.7,45766
Greve,26697,14044,52.7,27.7,50692
Køge,32995,17154,53.6,27.8,61612
Halsnæs,19408,11804,61.7,37.5,31451
Roskilde,47318,25424,53.2,28.6,88941
Solrød,12391,6207,52.8,26.5,23462
Gribskov,25974,15466,63.0,37.5,41198
Odsherred,20619,12605,62.6,38.2,32956
Holbæk,41134,21894,56.8,30.2,72387
Faxe,20178,10697,54.6,28.9,36956
Kalundborg,27303,15133,56.4,31.3,48395
Ringsted,17673,8556,50.4,24.4,35054
Slagelse,44255,24771,55.7,31.2,79519
Stevns,13138,7174,56.5,30.8,23264
Sorø,17222,9105,57.5,30.4,29956
Lejre,16137,8761,56.7,30.8,28466
Lolland,23920,13774,59.3,34.2,40322
Næstved,45372,25085,54.4,30.1,83457
Guldborgsund,36481,21064,60.4,34.9,60433
Vordingborg,26549,15280,58.6,33.7,45296
Bornholm,26374,15718,66.3,39.5,39793
Middelfart,21102,12135,53.5,30.8,39420
Assens,21788,12595,53.4,30.8,40832
Faaborg-Midtfyn,28180,15916,54.5,30.8,51736
Kerteminde,13054,7775,54.6,32.5,23889
Nyborg,17185,9572,53.6,29.9,32032
Odense,92698,55740,45.3,27.2,204834
Svendborg,32700,18769,55.5,31.9,58872
Nordfyn,15501,9179,52.4,31.0,29567
Langeland,7735,4599,62.6,37.2,12355
Ærø,3814,2484,63.5,41.3,6011
Haderslev,26531,14074,47.9,25.4,55426
Billund,13538,7064,51.0,26.6,26556
Sønderborg,39753,21180,53.9,28.7,73733
Tønder,18599,9608,50.3,26.0,36994
Esbjerg,62955,32686,54.5,28.3,115540
Fanø,2236,1406,64.9,40.8,3446
Varde,27764,14761,55.8,29.7,49715
Vejen,20695,11267,48.4,26.3,42783
Aabenraa,29310,16099,50.1,27.5,58551
Fredericia,25483,14458,49.5,28.1,51481
Horsens,43939,24048,47.2,25.8,93044
Kolding,42780,23801,46.0,25.6,93073
Vejle,56230,31119,47.7,26.4,117915
Herning,44583,25095,49.9,28.1,89344
Holstebro,29902,17365,51.0,29.6,58614
Lemvig,11686,6609,59.9,33.9,19516
Struer,12082,7119,58.0,34.2,20819
Syddjurs,24762,13679,57.0,31.5,43474
Norddjurs,21069,11948,57.0,32.3,36970
Favrskov,25364,12984,52.2,26.7,48623
Odder,13227,7237,57.4,31.4,23056
Randers,48912,27186,49.6,27.6,98535
Silkeborg,48704,26637,50.6,27.7,96328
Samsø,2541,1617,68.7,43.7,3699
Skanderborg,33361,16649,52.3,26.1,63764
Århus,153562,83977,43.6,23.8,352475
Ikast-Brande,20936,11697,50.1,28.0,41780
Ringkøbing-Skjern,30899,17226,54.9,30.6,56276
Hedensted,24750,13361,52.7,28.4,46973
Morsø,12048,6672,60.0,33.3,20065
Skive,25477,15000,56.3,33.2,45245
Thisted,25035,12700,58.0,29.4,43129
Viborg,49803,28668,51.5,29.7,96665
Brønderslev,18787,10585,52.1,29.3,36093
Frederikshavn,34444,18557,58.4,31.5,58982
Vesthimmerland,19340,10979,53.2,30.2,36353
Læsø,1420,1268,79.7,71.2,1782
Rebild,15063,8201,49.3,26.9,30523
Mariagerfjord,22758,12026,54.8,29.0,41535
Jammerbugt,20590,11782,53.9,30.8,38207
Aalborg,96788,56231,44.1,25.6,219569
Hjørring,34848,19637,54.4,30.7,64051
