"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,301121,168638,51.0,28.6,590289
Midtjylland,665559,368102,49.8,27.6,1335200
Syddanmark,619631,346287,50.6,28.3,1224761
Hovedstaden,955120,501339,51.4,27.0,1857705
Sjælland,469382,256728,55.8,30.5,841168
