"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-06-21,Hovedstaden,K,500947,281264,499170,280302,1777,962
2021-06-21,Hovedstaden,M,454173,220075,452301,219090,1872,985
2021-06-21,Midtjylland,K,349286,209478,347995,209427,1291,51
2021-06-21,Midtjylland,M,316273,158624,315084,158521,1189,103
2021-06-21,Nordjylland,K,158189,96274,157250,96269,939,5
2021-06-21,Nordjylland,M,142932,72364,141861,72339,1071,25
2021-06-21,Sjælland,K,245898,144724,245481,143872,417,852
2021-06-21,Sjælland,M,223484,112004,223056,111074,428,930
2021-06-21,Syddanmark,K,326000,196114,325000,195093,1000,1021
2021-06-21,Syddanmark,M,293631,150173,292576,149031,1055,1142
