"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,270987,130117,639107
Frederiksberg,53097,28354,102999
Ballerup,26986,14326,49069
Brøndby,18140,10260,35468
Dragør,8994,4926,14576
Gentofte,43654,22816,74251
Gladsaxe,36085,18588,68944
Glostrup,12311,6746,23499
Herlev,15450,8478,28820
Albertslund,13624,7455,27137
Hvidovre,27656,14886,53261
Høje-Taastrup,25924,14086,52428
Lyngby-Taarbæk,32421,16521,57083
Rødovre,21100,11487,41207
Ishøj,10657,5855,23054
Tårnby,23551,12292,42683
Vallensbæk,8511,4722,16570
Furesø,23880,12687,41173
Allerød,15558,7874,25933
Fredensborg,23815,13345,41044
Helsingør,37114,21364,63157
Hillerød,29976,15816,52019
Hørsholm,15811,9056,24801
Rudersdal,34361,17843,57159
Egedal,25511,12567,44055
Frederikssund,28190,15884,45766
Greve,26697,14044,50692
Køge,32995,17154,61612
Frederiksværk-Hundested,19408,11804,31451
Roskilde,47318,25424,88941
Solrød,12391,6207,23462
Gribskov,25974,15466,41198
Odsherred,20619,12605,32956
Holbæk,41134,21894,72387
Faxe,20178,10697,36956
Kalundborg,27303,15133,48395
Ringsted,17673,8556,35054
Slagelse,44255,24771,79519
Stevns,13138,7174,23264
Sorø,17222,9105,29956
Lejre,16137,8761,28466
Lolland,23920,13774,40322
Næstved,45372,25085,83457
Guldborgsund,36481,21064,60433
Vordingborg,26549,15280,45296
Bornholm,26374,15718,39793
Middelfart,21102,12135,39420
Assens,21788,12595,40832
Faaborg-Midtfyn,28180,15916,51736
Kerteminde,13054,7775,23889
Nyborg,17185,9572,32032
Odense,92698,55740,204834
Svendborg,32700,18769,58872
Nordfyns,15501,9179,29567
Langeland,7735,4599,12355
Ærø,3814,2484,6011
Haderslev,26531,14074,55426
Billund,13538,7064,26556
Sønderborg,39753,21180,73733
Tønder,18599,9608,36994
Esbjerg,62955,32686,115540
Fanø,2236,1406,3446
Varde,27764,14761,49715
Vejen,20695,11267,42783
Aabenraa,29310,16099,58551
Fredericia,25483,14458,51481
Horsens,43939,24048,93044
Kolding,42780,23801,93073
Vejle,56230,31119,117915
Herning,44583,25095,89344
Holstebro,29902,17365,58614
Lemvig,11686,6609,19516
Struer,12082,7119,20819
Syddjurs,24762,13679,43474
Norddjurs,21069,11948,36970
Favrskov,25364,12984,48623
Odder,13227,7237,23056
Randers,48912,27186,98535
Silkeborg,48704,26637,96328
Samsø,2541,1617,3699
Skanderborg,33361,16649,63764
Århus,153562,83977,352475
Ikast-Brande,20936,11697,41780
Ringkøbing-Skjern,30899,17226,56276
Hedensted,24750,13361,46973
Morsø,12048,6672,20065
Skive,25477,15000,45245
Thisted,25035,12700,43129
Viborg,49803,28668,96665
Brønderslev-Dronninglund,18787,10585,36093
Frederikshavn,34444,18557,58982
Vesthimmerlands,19340,10979,36353
Læsø,1420,1268,1782
Rebild,15063,8201,30523
Mariagerfjord,22758,12026,41535
Jammerbugt,20590,11782,38207
Ålborg,96788,56231,219569
Hjørring,34848,19637,64051
