"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,301121,168638,590289
Midtjylland,665559,368102,1335200
Syddanmark,619631,346287,1224761
Hovedstaden,955120,501339,1857705
Sjælland,469382,256728,841168
