"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2452;1489
Hovedstaden;03-05;M;2660;1625
Hovedstaden;06-11;K;25925;18881
Hovedstaden;06-11;M;27176;19726
Hovedstaden;12-15;K;30734;29365
Hovedstaden;12-15;M;32593;31147
Hovedstaden;16-19;K;34569;33937
Hovedstaden;16-19;M;35345;34515
Hovedstaden;20-39;K;232961;228133
Hovedstaden;20-39;M;223691;218465
Hovedstaden;40-64;K;271889;269899
Hovedstaden;40-64;M;267279;265259
Hovedstaden;65-79;K;126778;126447
Hovedstaden;65-79;M;109520;109240
Hovedstaden;80+;K;48096;47926
Hovedstaden;80+;M;29838;29765
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2108;1391
Midtjylland;03-05;M;2299;1510
Midtjylland;06-11;K;23204;18530
Midtjylland;06-11;M;24571;19584
Midtjylland;12-15;K;26283;25509
Midtjylland;12-15;M;27387;26537
Midtjylland;16-19;K;29628;29316
Midtjylland;16-19;M;30408;29987
Midtjylland;20-39;K;148696;146140
Midtjylland;20-39;M;151416;148462
Midtjylland;40-64;K;199195;198310
Midtjylland;40-64;M;197906;196961
Midtjylland;65-79;K;101948;101803
Midtjylland;65-79;M;96482;96331
Midtjylland;80+;K;36487;36400
Midtjylland;80+;M;26121;26073
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;852;558
Nordjylland;03-05;M;916;581
Nordjylland;06-11;K;9408;7358
Nordjylland;06-11;M;9786;7601
Nordjylland;12-15;K;10923;10547
Nordjylland;12-15;M;11627;11229
Nordjylland;16-19;K;12343;12213
Nordjylland;16-19;M;12959;12747
Nordjylland;20-39;K;59591;58386
Nordjylland;20-39;M;64613;63101
Nordjylland;40-64;K;88514;88070
Nordjylland;40-64;M;88745;88254
Nordjylland;65-79;K;49830;49732
Nordjylland;65-79;M;47777;47683
Nordjylland;80+;K;18512;18470
Nordjylland;80+;M;13450;13420
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1056;677
Sjælland;03-05;M;1184;735
Sjælland;06-11;K;11890;9119
Sjælland;06-11;M;12687;9754
Sjælland;12-15;K;15759;15249
Sjælland;12-15;M;16722;16161
Sjælland;16-19;K;17873;17637
Sjælland;16-19;M;19049;18709
Sjælland;20-39;K;67572;65946
Sjælland;20-39;M;69616;67830
Sjælland;40-64;K;136341;135515
Sjælland;40-64;M;133804;133003
Sjælland;65-79;K;76217;76059
Sjælland;65-79;M;70855;70722
Sjælland;80+;K;26148;26063
Sjælland;80+;M;18727;18693
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1683;1153
Syddanmark;03-05;M;1830;1270
Syddanmark;06-11;K;19638;15834
Syddanmark;06-11;M;20839;16896
Syddanmark;12-15;K;23432;22660
Syddanmark;12-15;M;24670;23845
Syddanmark;16-19;K;26851;26523
Syddanmark;16-19;M;27389;26929
Syddanmark;20-39;K;115161;112826
Syddanmark;20-39;M;119979;117163
Syddanmark;40-64;K;189065;188098
Syddanmark;40-64;M;187877;186800
Syddanmark;65-79;K;102543;102357
Syddanmark;65-79;M;97008;96834
Syddanmark;80+;K;39285;39187
Syddanmark;80+;M;27760;27706
