"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-01;Hovedstaden;K;773407;756077;560781;773317;755784;559383;90;293;1398
2022-02-01;Hovedstaden;M;728102;709742;515905;728030;709479;514670;72;263;1235
2022-02-01;Midtjylland;K;567551;557400;427464;567511;557249;426519;40;151;945
2022-02-01;Midtjylland;M;556591;545445;407039;556553;545300;406145;38;145;894
2022-02-01;Nordjylland;K;249973;245334;190415;249963;245207;190122;10;127;293
2022-02-01;Nordjylland;M;249873;244616;183018;249852;244486;182690;21;130;328
2022-02-01;Sjælland;K;352856;346265;269094;352834;346173;268734;22;92;360
2022-02-01;Sjælland;M;342644;335607;252503;342626;335525;252122;18;82;381
2022-02-01;Syddanmark;K;517660;508639;392053;517612;508459;391192;48;180;861
2022-02-01;Syddanmark;M;507352;497443;371038;507318;497265;370121;34;178;917
