"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62681;46101;299767;20.9;15.4
0-9;M;66880;49163;316497;21.1;15.5
10-19;K;282532;270319;346315;81.6;78.1
10-19;M;293069;279569;361963;81.0;77.2
20-29;K;321630;314872;381239;84.4;82.6
20-29;M;327689;319433;398187;82.3;80.2
30-39;K;302024;296263;351578;85.9;84.3
30-39;M;300029;294097;363934;82.4;80.8
40-49;K;344932;342134;374949;92.0;91.2
40-49;M;337206;334253;375894;89.7;88.9
50-59;K;378332;376603;401593;94.2;93.8
50-59;M;379409;377662;405039;93.7;93.2
60-69;K;325761;324851;339271;96.0;95.7
60-69;M;316799;315871;329683;96.1;95.8
70-79;K;292258;291746;300119;97.4;97.2
70-79;M;262000;261558;268666;97.5;97.4
80-89;K;126776;126451;130625;97.1;96.8
80-89;M;91661;91470;94004;97.5;97.3
90+;K;24521;24375;25836;94.9;94.3
90+;M;9820;9777;10202;96.3;95.8
