"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;00-02;K;3;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2771;1712
Hovedstaden;03-05;M;2994;1853
Hovedstaden;06-11;K;26332;19230
Hovedstaden;06-11;M;27615;20125
Hovedstaden;12-15;K;34292;33044
Hovedstaden;12-15;M;36251;34900
Hovedstaden;16-19;K;35971;35316
Hovedstaden;16-19;M;36203;35351
Hovedstaden;20-39;K;233467;228663
Hovedstaden;20-39;M;224181;218989
Hovedstaden;40-64;K;272582;270609
Hovedstaden;40-64;M;267927;265935
Hovedstaden;65-79;K;124665;124345
Hovedstaden;65-79;M;106796;106526
Hovedstaden;80+;K;43324;43158
Hovedstaden;80+;M;26135;26063
Midtjylland;00-02;K;3;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2363;1581
Midtjylland;03-05;M;2607;1730
Midtjylland;06-11;K;23669;18983
Midtjylland;06-11;M;24998;20021
Midtjylland;12-15;K;29412;28697
Midtjylland;12-15;M;30595;29794
Midtjylland;16-19;K;30423;30107
Midtjylland;16-19;M;30792;30364
Midtjylland;20-39;K;148271;145714
Midtjylland;20-39;M;150795;147859
Midtjylland;40-64;K;200536;199667
Midtjylland;40-64;M;199547;198616
Midtjylland;65-79;K;100100;99961
Midtjylland;65-79;M;94298;94149
Midtjylland;80+;K;32774;32689
Midtjylland;80+;M;22958;22912
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;948;622
Nordjylland;03-05;M;1015;656
Nordjylland;06-11;K;9585;7537
Nordjylland;06-11;M;9977;7786
Nordjylland;12-15;K;12251;11892
Nordjylland;12-15;M;13053;12675
Nordjylland;16-19;K;12655;12525
Nordjylland;16-19;M;13133;12905
Nordjylland;20-39;K;59488;58290
Nordjylland;20-39;M;64270;62774
Nordjylland;40-64;K;89384;88941
Nordjylland;40-64;M;89737;89253
Nordjylland;65-79;K;49036;48942
Nordjylland;65-79;M;46885;46794
Nordjylland;80+;K;16626;16585
Nordjylland;80+;M;11803;11773
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1192;766
Sjælland;03-05;M;1333;851
Sjælland;06-11;K;12104;9319
Sjælland;06-11;M;12928;9973
Sjælland;12-15;K;17789;17327
Sjælland;12-15;M;18722;18207
Sjælland;16-19;K;17901;17663
Sjælland;16-19;M;19160;18803
Sjælland;20-39;K;67662;66031
Sjælland;20-39;M;69253;67479
Sjælland;40-64;K;137877;137062
Sjælland;40-64;M;135403;134612
Sjælland;65-79;K;75022;74870
Sjælland;65-79;M;69565;69435
Sjælland;80+;K;23309;23227
Sjælland;80+;M;16280;16247
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1921;1339
Syddanmark;03-05;M;2070;1454
Syddanmark;06-11;K;20044;16225
Syddanmark;06-11;M;21321;17369
Syddanmark;12-15;K;26186;25462
Syddanmark;12-15;M;27355;26572
Syddanmark;16-19;K;27396;27071
Syddanmark;16-19;M;27826;27343
Syddanmark;20-39;K;114766;112437
Syddanmark;20-39;M;119219;116429
Syddanmark;40-64;K;191078;190109
Syddanmark;40-64;M;190102;189043
Syddanmark;65-79;K;101003;100828
Syddanmark;65-79;M;95154;94981
Syddanmark;80+;K;35264;35167
Syddanmark;80+;M;24305;24252
