"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60669;44422;297755;20.4;14.9
0-9;M;64758;47384;314375;20.6;15.1
10-19;K;265949;253526;329732;80.7;76.9
10-19;M;277340;263704;346234;80.1;76.2
20-29;K;322882;316177;382491;84.4;82.7
20-29;M;328432;320175;398930;82.3;80.3
30-39;K;301099;295254;350653;85.9;84.2
30-39;M;300883;294846;364788;82.5;80.8
40-49;K;337552;334742;367569;91.8;91.1
40-49;M;329204;326214;367892;89.5;88.7
50-59;K;377902;376146;401163;94.2;93.8
50-59;M;379447;377670;405077;93.7;93.2
60-69;K;328975;328046;342485;96.1;95.8
60-69;M;319345;318396;332229;96.1;95.8
70-79;K;297891;297356;305752;97.4;97.3
70-79;M;269257;268807;275923;97.6;97.4
80-89;K;137854;137527;141703;97.3;97.1
80-89;M;102821;102631;105164;97.8;97.6
90+;K;30674;30519;31989;95.9;95.4
90+;M;13075;13026;13457;97.2;96.8
