"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508060;495699;645271
Frederiksberg;86819;85021;103601
Ballerup;39017;38085;49216
Brøndby;25887;25088;35777
Dragør;12282;11968;14622
Gentofte;62252;60858;74267
Gladsaxe;55551;54111;69283
Glostrup;18251;17779;23452
Herlev;22679;22024;28839
Albertslund;20659;19980;27650
Hvidovre;41531;40295;53230
Høje-Taastrup;39708;38587;53101
Lyngby-Taarbæk;48670;47497;57752
Rødovre;32164;31245;41463
Ishøj;16163;15653;23230
Tårnby;34253;33408;42704
Vallensbæk;12568;12219;16522
Furesø;34254;33451;41378
Allerød;22003;21573;25835
Fredensborg;33569;32850;41228
Helsingør;51720;50654;62846
Hillerød;44084;43196;53305
Hørsholm;21136;20725;24736
Rudersdal;48496;47462;57245
Egedal;36957;36200;44411
Frederikssund;38546;37773;45820
Greve;40773;39861;50820
Køge;50459;49264;61652
Frederiksværk-Hundested;25997;25452;31325
Roskilde;75084;73598;89498
Solrød;19507;19097;23821
Gribskov;34175;33533;41153
Odsherred;27657;27214;32828
Holbæk;60696;59539;72883
Faxe;30451;29811;37166
Kalundborg;39816;39073;48365
Ringsted;28212;27626;35153
Slagelse;65040;63665;79723
Stevns;19485;19081;23499
Sorø;25204;24775;29998
Lejre;23735;23306;28576
Lolland;32865;32280;40087
Næstved;69291;68009;83891
Guldborgsund;49761;48917;60298
Vordingborg;37464;36756;45310
Bornholm;34058;33433;39628
Middelfart;33945;33353;39649
Assens;35017;34359;40919
Faaborg-Midtfyn;44257;43421;51824
Kerteminde;20532;20137;24016
Nyborg;27568;27080;32125
Odense;172369;168893;206005
Svendborg;50594;49738;59196
Nordfyns;25004;24486;29733
Langeland;10577;10424;12319
Ærø;5287;5192;6029
Haderslev;45664;44815;55287
Billund;22205;21820;26672
Sønderborg;61693;60599;73749
Tønder;29965;29403;36811
Esbjerg;95803;94084;115510
Fanø;2965;2926;3418
Varde;41219;40441;49670
Vejen;35012;34295;42595
Aabenraa;47297;46516;58684
Fredericia;43084;42294;51615
Horsens;77023;75556;94601
Kolding;77000;75653;93545
Vejle;97955;96153;119174
Herning;74697;73353;89269
Holstebro;49425;48505;58522
Lemvig;16585;16345;19414
Struer;17850;17540;20771
Syddjurs;36950;36292;43646
Norddjurs;31302;30761;36909
Favrskov;41423;40599;48878
Odder;19985;19619;23331
Randers;82644;81110;99030
Silkeborg;80994;79462;97512
Samsø;3248;3203;3707
Skanderborg;53991;52856;64404
Århus;296159;290030;355459
Ikast-Brande;34387;33780;41901
Ringkøbing-Skjern;46929;46086;56188
Hedensted;39604;39004;47100
Morsø;17063;16709;20067
Skive;38852;38197;45083
Thisted;36365;35677;43101
Viborg;82094;80547;96835
Brønderslev-Dronninglund;30517;29894;36204
Frederikshavn;50212;49353;58870
Vesthimmerlands;30083;29492;36294
Læsø;1531;1506;1774
Rebild;25497;24960;30660
Mariagerfjord;35264;34500;41657
Jammerbugt;32352;31685;38193
Ålborg;186455;182655;221137
Hjørring;54507;53519;63841
