"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90629;0.0;0.0
00-02;M;1;0;95603;0.0;0.0
03-05;K;8151;5268;91155;8.9;5.8
03-05;M;8889;5721;96353;9.2;5.9
06-11;K;90065;69722;178928;50.3;39.0
06-11;M;95059;73561;188076;50.5;39.1
12-15;K;107131;103330;132658;80.8;77.9
12-15;M;112999;108919;140223;80.6;77.7
16-19;K;121264;119626;134117;90.4;89.2
16-19;M;125150;122887;140354;89.2;87.6
20-39;K;623981;611431;733144;85.1;83.4
20-39;M;629315;615021;763718;82.4;80.5
40-64;K;885004;879892;946097;93.5;93.0
40-64;M;875611;870277;947518;92.4;91.8
65-79;K;457316;456398;470872;97.1;96.9
65-79;M;421642;420810;433603;97.2;97.0
80+;K;168528;168046;173692;97.0;96.7
80+;M;115896;115657;118621;97.7;97.5
