"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90630;0.0;0.0
00-02;M;1;0;95603;0.0;0.0
03-05;K;9195;6020;92199;10.0;6.5
03-05;M;10019;6544;97483;10.3;6.7
06-11;K;91734;71294;180597;50.8;39.5
06-11;M;96839;75274;189856;51.0;39.6
12-15;K;119930;116422;145457;82.5;80.0
12-15;M;125976;122148;153200;82.2;79.7
16-19;K;124346;122682;137199;90.6;89.4
16-19;M;127114;124766;142318;89.3;87.7
20-39;K;623654;611135;732817;85.1;83.4
20-39;M;627718;613530;762121;82.4;80.5
40-64;K;891457;886388;952550;93.6;93.1
40-64;M;882716;877459;954623;92.5;91.9
65-79;K;449826;448946;463382;97.1;96.9
65-79;M;412698;411885;424659;97.2;97.0
80+;K;151297;150826;156461;96.7;96.4
80+;M;101481;101247;104206;97.4;97.2
