"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499846;489950;373433;84.5;82.8;63.1;591798
Midtjylland;1124142;1102845;834503;83.7;82.1;62.2;1342560
Syddanmark;1025012;1006082;763091;83.4;81.9;62.1;1228545
Hovedstaden;1501509;1465819;1076686;80.3;78.4;57.6;1868890
Sjælland;695500;681872;521597;82.4;80.8;61.8;843568
