"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18320;12686
Hovedstaden;0-9;M;19417;13476
Hovedstaden;10-19;K;81049;76616
Hovedstaden;10-19;M;83646;78753
Hovedstaden;20-29;K;122545;119995
Hovedstaden;20-29;M;115931;112941
Hovedstaden;30-39;K;110922;108668
Hovedstaden;30-39;M;108250;106048
Hovedstaden;40-49;K;112745;111592
Hovedstaden;40-49;M;109544;108417
Hovedstaden;50-59;K;113286;112648
Hovedstaden;50-59;M;112455;111791
Hovedstaden;60-69;K;89024;88716
Hovedstaden;60-69;M;84408;84070
Hovedstaden;70-79;K;82192;81998
Hovedstaden;70-79;M;68316;68183
Hovedstaden;80-89;K;36006;35889
Hovedstaden;80-89;M;23570;23509
Hovedstaden;90+;K;7318;7269
Hovedstaden;90+;M;2565;2554
Midtjylland;0-9;K;16189;12220
Midtjylland;0-9;M;17296;13015
Midtjylland;10-19;K;69681;67149
Midtjylland;10-19;M;71697;68894
Midtjylland;20-29;K;79939;78513
Midtjylland;20-29;M;81663;79885
Midtjylland;30-39;K;68332;67201
Midtjylland;30-39;M;69132;67974
Midtjylland;40-49;K;77842;77371
Midtjylland;40-49;M;76933;76391
Midtjylland;50-59;K;84515;84218
Midtjylland;50-59;M;84970;84669
Midtjylland;60-69;K;74448;74279
Midtjylland;60-69;M;72920;72759
Midtjylland;70-79;K;63831;63760
Midtjylland;70-79;M;59022;58946
Midtjylland;80-89;K;27461;27398
Midtjylland;80-89;M;20682;20646
Midtjylland;90+;K;5313;5291
Midtjylland;90+;M;2276;2266
Nordjylland;0-9;K;6584;4877
Nordjylland;0-9;M;6889;5060
Nordjylland;10-19;K;28855;27699
Nordjylland;10-19;M;30289;28962
Nordjylland;20-29;K;31574;30890
Nordjylland;20-29;M;35405;34511
Nordjylland;30-39;K;27914;27400
Nordjylland;30-39;M;28865;28263
Nordjylland;40-49;K;32458;32237
Nordjylland;40-49;M;32619;32359
Nordjylland;50-59;K;38482;38312
Nordjylland;50-59;M;38919;38748
Nordjylland;60-69;K;35835;35740
Nordjylland;60-69;M;35330;35239
Nordjylland;70-79;K;31645;31594
Nordjylland;70-79;M;29754;29701
Nordjylland;80-89;K;13951;13923
Nordjylland;80-89;M;10617;10592
Nordjylland;90+;K;2675;2662
Nordjylland;90+;M;1186;1181
Sjælland;0-9;K;8085;5926
Sjælland;0-9;M;8775;6401
Sjælland;10-19;K;40901;39149
Sjælland;10-19;M;43368;41433
Sjælland;20-29;K;30292;29466
Sjælland;20-29;M;33076;32098
Sjælland;30-39;K;37370;36565
Sjælland;30-39;M;36177;35381
Sjælland;40-49;K;50641;50209
Sjælland;40-49;M;48492;48064
Sjælland;50-59;K;60019;59735
Sjælland;50-59;M;60219;59959
Sjælland;60-69;K;52861;52705
Sjælland;60-69;M;51404;51245
Sjælland;70-79;K;49378;49283
Sjælland;70-79;M;44853;44779
Sjælland;80-89;K;19810;19753
Sjælland;80-89;M;14837;14812
Sjælland;90+;K;3499;3474
Sjælland;90+;M;1443;1435
Syddanmark;0-9;K;13503;10392
Syddanmark;0-9;M;14503;11211
Syddanmark;10-19;K;62046;59706
Syddanmark;10-19;M;64069;61527
Syddanmark;20-29;K;57280;56008
Syddanmark;20-29;M;61614;59998
Syddanmark;30-39;K;57486;56429
Syddanmark;30-39;M;57605;56431
Syddanmark;40-49;K;71246;70725
Syddanmark;40-49;M;69618;69022
Syddanmark;50-59;K;82030;81690
Syddanmark;50-59;M;82846;82495
Syddanmark;60-69;K;73593;73411
Syddanmark;60-69;M;72737;72558
Syddanmark;70-79;K;65212;65111
Syddanmark;70-79;M;60055;59949
Syddanmark;80-89;K;29548;29488
Syddanmark;80-89;M;21955;21911
Syddanmark;90+;K;5716;5679
Syddanmark;90+;M;2350;2341
