"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-01;København;K;260647;254576;180548;260602;254475;179809;45;101;739
2022-02-01;København;M;247413;241123;170174;247388;241038;169576;25;85;598
2022-02-01;Frederiksberg;K;46207;45326;34422;46199;45311;34322;8;15;100
2022-02-01;Frederiksberg;M;40612;39695;29620;40606;39682;29539;6;13;81
2022-02-01;Ballerup;K;20236;19768;15049;20235;19763;15024;1;5;25
2022-02-01;Ballerup;M;18781;18317;13460;18780;18314;13432;1;3;28
2022-02-01;Brøndby;K;13432;13029;9447;13430;13024;9436;2;5;11
2022-02-01;Brøndby;M;12455;12059;8520;12452;12055;8509;3;4;11
2022-02-01;Dragør;K;6348;6185;4780;6348;6181;4774;0;4;6
2022-02-01;Dragør;M;5934;5783;4313;5934;5782;4311;0;1;2
2022-02-01;Gentofte;K;32769;32093;24407;32768;32080;24359;1;13;48
2022-02-01;Gentofte;M;29483;28765;21368;29482;28755;21333;1;10;35
2022-02-01;Gladsaxe;K;28252;27567;20301;28247;27548;20271;5;19;30
2022-02-01;Gladsaxe;M;27299;26544;18922;27294;26530;18878;5;14;44
2022-02-01;Glostrup;K;9310;9072;6719;9309;9070;6697;1;2;22
2022-02-01;Glostrup;M;8941;8707;6174;8940;8698;6153;1;9;21
2022-02-01;Herlev;K;11795;11483;8611;11793;11483;8596;2;0;15
2022-02-01;Herlev;M;10884;10541;7568;10883;10532;7551;1;9;17
2022-02-01;Albertslund;K;10558;10230;7167;10556;10227;7156;2;3;11
2022-02-01;Albertslund;M;10101;9750;6689;10101;9744;6670;0;6;19
2022-02-01;Hvidovre;K;21277;20652;15056;21277;20641;15010;0;11;46
2022-02-01;Hvidovre;M;20254;19643;13967;20248;19637;13920;6;6;47
2022-02-01;Høje Tåstrup;K;20019;19491;14019;20018;19480;13996;1;11;23
2022-02-01;Høje Tåstrup;M;19689;19096;13414;19687;19087;13384;2;9;30
2022-02-01;Lyngby-Taarbæk;K;24890;24344;18600;24881;24337;18563;9;7;37
2022-02-01;Lyngby-Taarbæk;M;23780;23153;17024;23774;23140;16992;6;13;32
2022-02-01;Rødovre;K;16726;16291;12018;16722;16281;11996;4;10;22
2022-02-01;Rødovre;M;15438;14954;10591;15438;14949;10570;0;5;21
2022-02-01;Ishøj;K;8219;7968;5377;8219;7968;5369;0;0;8
2022-02-01;Ishøj;M;7944;7685;5143;7941;7676;5135;3;9;8
2022-02-01;Tårnby;K;17554;17163;12863;17554;17155;12843;0;8;20
2022-02-01;Tårnby;M;16699;16245;11748;16696;16236;11727;3;9;21
2022-02-01;Vallensbæk;K;6385;6214;4474;6385;6212;4464;0;2;10
2022-02-01;Vallensbæk;M;6183;6005;4247;6183;6004;4243;0;1;4
2022-02-01;Furesø;K;17684;17278;13232;17681;17271;13215;3;7;17
2022-02-01;Furesø;M;16570;16173;11985;16570;16172;11974;0;1;11
2022-02-01;Allerød;K;11286;11080;8538;11286;11072;8527;0;8;11
2022-02-01;Allerød;M;10717;10493;7956;10717;10490;7945;0;3;11
2022-02-01;Fredensborg;K;17489;17152;13118;17488;17147;13096;1;5;22
2022-02-01;Fredensborg;M;16080;15698;11849;16079;15694;11830;1;4;19
2022-02-01;Helsingør;K;26983;26472;20683;26982;26462;20648;1;10;35
2022-02-01;Helsingør;M;24737;24182;18336;24737;24172;18301;0;10;35
2022-02-01;Hillerød;K;22693;22285;16987;22692;22273;16959;1;12;28
2022-02-01;Hillerød;M;21391;20911;15577;21390;20903;15553;1;8;24
2022-02-01;Hørsholm;K;11320;11123;8802;11320;11121;8791;0;2;11
2022-02-01;Hørsholm;M;9816;9602;7424;9816;9599;7419;0;3;5
2022-02-01;Rudersdal;K;24972;24467;18967;24972;24461;18947;0;6;20
2022-02-01;Rudersdal;M;23524;22995;17431;23521;22990;17405;3;5;26
2022-02-01;Egedal;K;18782;18422;13803;18782;18414;13788;0;8;15
2022-02-01;Egedal;M;18175;17778;13083;18174;17769;13060;1;9;23
2022-02-01;Frederikssund;K;19730;19380;15142;19728;19373;15125;2;7;17
2022-02-01;Frederikssund;M;18816;18393;13881;18816;18388;13870;0;5;11
2022-02-01;Greve;K;20853;20409;15352;20852;20399;15322;1;10;30
2022-02-01;Greve;M;19920;19452;14357;19919;19441;14330;1;11;27
2022-02-01;Køge;K;25697;25133;19251;25693;25126;19217;4;7;34
2022-02-01;Køge;M;24762;24131;17908;24759;24123;17866;3;8;42
2022-02-01;Halsnæs;K;13230;12960;10224;13230;12958;10212;0;2;12
2022-02-01;Halsnæs;M;12767;12492;9635;12767;12492;9621;0;0;14
2022-02-01;Roskilde;K;38647;37931;29204;38643;37919;29154;4;12;50
2022-02-01;Roskilde;M;36437;35667;26566;36435;35655;26513;2;12;53
2022-02-01;Solrød;K;9994;9799;7339;9994;9797;7333;0;2;6
2022-02-01;Solrød;M;9513;9298;6896;9513;9298;6885;0;0;11
2022-02-01;Gribskov;K;17312;17003;13503;17312;16998;13487;0;5;16
2022-02-01;Gribskov;M;16863;16530;12816;16861;16526;12804;2;4;12
2022-02-01;Odsherred;K;13917;13677;11092;13916;13670;11073;1;7;19
2022-02-01;Odsherred;M;13740;13537;10611;13740;13531;10601;0;6;10
2022-02-01;Holbæk;K;30866;30327;23330;30863;30315;23293;3;12;37
2022-02-01;Holbæk;M;29830;29212;21711;29827;29203;21662;3;9;49
2022-02-01;Faxe;K;15198;14893;11598;15197;14889;11589;1;4;9
2022-02-01;Faxe;M;15253;14918;11176;15252;14918;11171;1;0;5
2022-02-01;Kalundborg;K;19967;19616;15477;19965;19612;15443;2;4;34
2022-02-01;Kalundborg;M;19849;19457;14739;19849;19453;14709;0;4;30
2022-02-01;Ringsted;K;14264;13969;10636;14264;13969;10635;0;0;1
2022-02-01;Ringsted;M;13948;13657;10085;13948;13656;10082;0;1;3
2022-02-01;Slagelse;K;33054;32333;25119;33053;32317;25082;1;16;37
2022-02-01;Slagelse;M;31986;31332;23465;31985;31326;23432;1;6;33
2022-02-01;Stevns;K;9721;9529;7549;9721;9526;7547;0;3;2
