"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499846;489950;591798
Midtjylland;1124142;1102845;1342560
Syddanmark;1025012;1006082;1228545
Hovedstaden;1501509;1465819;1868890
Sjælland;695500;681872;843568
