"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,79827,42088,590455
Midtjylland,174242,91492,1333315
Syddanmark,157768,89619,1224067
Hovedstaden,232578,125156,1856091
Sjælland,120964,57612,839517
