"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-04,Hovedstaden,K,147266,78789,144232,78740,3034,49
2021-04-04,Hovedstaden,M,85312,46367,82597,46332,2715,35
2021-04-04,Midtjylland,K,112402,58937,112215,58912,187,25
2021-04-04,Midtjylland,M,61840,32555,61658,32536,182,19
2021-04-04,Nordjylland,K,51843,26959,51404,26709,439,250
2021-04-04,Nordjylland,M,27984,15129,27617,14949,367,180
2021-04-04,Sjælland,K,75200,35571,73440,35291,1760,280
2021-04-04,Sjælland,M,45764,22041,44094,21730,1670,311
2021-04-04,Syddanmark,K,100759,55743,99819,55134,940,609
2021-04-04,Syddanmark,M,57009,33876,56156,33431,853,445
