"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,0
AstraZeneca Covid-19 vaccine,Midtjylland,33614,1
AstraZeneca Covid-19 vaccine,Syddanmark,30416,248
AstraZeneca Covid-19 vaccine,Hovedstaden,45116,10
AstraZeneca Covid-19 vaccine,Sjælland,23869,331
Moderna Covid-19 Vaccine,Nordjylland,4396,3849
Moderna Covid-19 Vaccine,Midtjylland,12570,3540
Moderna Covid-19 Vaccine,Syddanmark,13530,5280
Moderna Covid-19 Vaccine,Hovedstaden,19600,2282
Moderna Covid-19 Vaccine,Sjælland,9538,1451
Pfizer BioNTech Covid-19 vacc,Nordjylland,58563,38239
Pfizer BioNTech Covid-19 vacc,Midtjylland,128058,87951
Pfizer BioNTech Covid-19 vacc,Syddanmark,113822,84091
Pfizer BioNTech Covid-19 vacc,Hovedstaden,167862,122864
Pfizer BioNTech Covid-19 vacc,Sjælland,87557,55830
