"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,79827,42088,13.5,7.1,590455
Midtjylland,174242,91492,13.1,6.9,1333315
Syddanmark,157768,89619,12.9,7.3,1224067
Hovedstaden,232578,125156,12.5,6.7,1856091
Sjælland,120964,57612,14.4,6.9,839517
