Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 131.092 (49); 138.509 (51); 269.601
10-19; 198.438 (50); 199.202 (50); 397.640
20-29; 161.829 (52); 149.613 (48); 311.442
30-39; 164.002 (53); 142.937 (47); 306.939
40-49; 158.884 (53); 139.754 (47); 298.638
50-59; 110.142 (51); 105.081 (49); 215.223
60-69;  56.793 (51);  55.443 (49); 112.236
70-79;  28.299 (50);  28.757 (50);  57.056
80-89;  10.981 (55);   9.078 (45);  20.059
90+;   3.629 (69);   1.627 (31);   5.256
I alt;1.024.105 (51); 970.024 (49);1.994.130
