"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,105529,51584,16.5,8.1,638604
Frederiksberg,24286,12669,23.5,12.3,103194
Ballerup,13134,6791,26.8,13.8,49045
Brøndby,9171,5149,25.9,14.6,35386
Dragør,4467,2355,30.7,16.2,14574
Gentofte,20183,10509,27.2,14.2,74253
Gladsaxe,16647,8348,24.1,12.1,68953
Glostrup,6126,3438,26.1,14.6,23495
Herlev,7740,3943,26.9,13.7,28748
Albertslund,6722,3735,24.7,13.7,27181
Hvidovre,13188,7343,24.8,13.8,53273
Høje Tåstrup,12462,7281,23.8,13.9,52261
Lyngby-Taarbæk,14844,7722,26.0,13.5,57061
Rødovre,10161,5170,24.7,12.6,41186
Ishøj,5213,2828,22.6,12.3,23061
Tårnby,11080,5655,25.9,13.2,42720
Vallensbæk,4264,2558,25.7,15.4,16567
Furesø,11739,6009,28.6,14.6,41081
Allerød,7279,3630,28.1,14.0,25923
Fredensborg,12569,5817,30.7,14.2,41002
Helsingør,20336,9345,32.2,14.8,63116
Hillerød,14705,7518,28.4,14.5,51829
Hørsholm,8443,4260,34.0,17.1,24854
Rudersdal,16340,8687,28.6,15.2,57061
Egedal,11342,5711,25.8,13.0,43940
Frederikssund,14320,7856,31.3,17.2,45696
Greve,12391,6810,24.5,13.5,50623
Køge,14106,7920,22.9,12.9,61555
Halsnæs,11013,5381,35.0,17.1,31485
Roskilde,20897,12322,23.5,13.9,88798
Solrød,5410,2985,23.0,12.7,23491
Gribskov,14528,6477,35.4,15.8,41081
Odsherred,10466,5898,31.8,17.9,32908
Holbæk,17996,10528,24.9,14.6,72222
Faxe,8738,5022,23.7,13.6,36844
Kalundborg,12205,7415,25.2,15.3,48399
Ringsted,7015,4164,20.0,11.9,35022
Slagelse,20123,12180,25.3,15.3,79403
Stevns,6121,3454,26.3,14.9,23253
Sorø,7421,4549,24.8,15.2,29935
Lejre,7340,4179,25.8,14.7,28461
Lolland,11001,6741,27.3,16.7,40359
Næstved,19931,12497,23.9,15.0,83421
Guldborgsund,17075,10512,28.3,17.4,60400
Vordingborg,12269,7737,27.1,17.1,45234
Bornholm,14426,6723,36.3,16.9,39750
Middelfart,10704,4990,27.2,12.7,39352
Assens,10921,4638,26.7,11.3,40873
Faaborg-Midtfyn,13878,6049,26.8,11.7,51714
Kerteminde,6813,3162,28.6,13.3,23863
Nyborg,8559,3932,26.7,12.3,32029
Odense,47592,22821,23.2,11.1,204881
Svendborg,15995,7779,27.2,13.2,58829
Nordfyn,7782,3518,26.3,11.9,29543
Langeland,3972,1754,32.2,14.2,12346
Ærø,2040,1001,34.0,16.7,6007
Haderslev,12930,5340,23.4,9.6,55365
Billund,6178,3186,23.3,12.0,26520
Sønderborg,18398,8321,24.9,11.3,73779
Tønder,8789,3706,23.7,10.0,37007
Esbjerg,29209,16094,25.3,13.9,115611
Fanø,1213,659,35.2,19.1,3443
Varde,12580,6895,25.3,13.9,49724
Vejen,9769,5353,22.8,12.5,42814
Aabenraa,14042,5101,24.0,8.7,58563
Fredericia,12607,6139,24.5,11.9,51422
Horsens,20397,10386,22.0,11.2,92746
Kolding,20701,9843,22.2,10.6,93090
Vejle,26911,12656,22.9,10.7,117744
Herning,21494,12625,24.1,14.1,89368
Holstebro,14793,8421,25.2,14.3,58684
Lemvig,5606,3332,28.7,17.1,19519
Struer,6158,3448,29.6,16.6,20827
Syddjurs,12365,5728,28.5,13.2,43409
Norddjurs,10986,5077,29.7,13.7,36981
Favrskov,11326,5670,23.3,11.7,48527
Odder,6183,3356,26.8,14.6,23062
Randers,23943,12256,24.3,12.5,98405
Silkeborg,22952,12272,23.9,12.8,96076
Samsø,1182,655,31.8,17.6,3712
Skanderborg,14113,7414,22.2,11.7,63598
Århus,68180,36730,19.4,10.4,352311
Ikast-Brande,10074,5656,24.2,13.6,41601
Ringkøbing-Skjern,14493,7615,25.8,13.5,56223
Hedensted,11393,5752,24.3,12.3,46955
Morsø,5757,3446,28.7,17.2,20082
Skive,12890,7316,28.4,16.1,45347
Thisted,11680,6399,27.1,14.8,43144
Viborg,25267,13414,26.1,13.9,96702
Brønderslev,8689,4736,24.1,13.1,36076
Frederikshavn,16720,9286,28.4,15.8,58948
Vesthimmerland,10137,6144,27.9,16.9,36371
Læsø,840,392,47.3,22.1,1777
Rebild,6994,3836,22.9,12.6,30505
Mariagerfjord,11200,6368,26.9,15.3,41587
Jammerbugt,9410,4916,24.7,12.9,38173
Aalborg,48490,26240,22.1,12.0,219537
Hjørring,17060,8956,26.6,14.0,64080
