"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16862,2
AstraZeneca Covid-19 vaccine,Midtjylland,33654,9
AstraZeneca Covid-19 vaccine,Syddanmark,30423,251
AstraZeneca Covid-19 vaccine,Hovedstaden,45156,181
AstraZeneca Covid-19 vaccine,Sjælland,23872,337
Moderna Covid-19 Vaccine,Nordjylland,8846,4299
Moderna Covid-19 Vaccine,Midtjylland,21665,12158
Moderna Covid-19 Vaccine,Syddanmark,20610,13386
Moderna Covid-19 Vaccine,Hovedstaden,30934,19603
Moderna Covid-19 Vaccine,Sjælland,19111,9357
Pfizer BioNTech Covid-19 vacc,Nordjylland,121269,76418
Pfizer BioNTech Covid-19 vacc,Midtjylland,258476,154956
Pfizer BioNTech Covid-19 vacc,Syddanmark,250550,129300
Pfizer BioNTech Covid-19 vacc,Hovedstaden,366167,204708
Pfizer BioNTech Covid-19 vacc,Sjælland,167522,115219
