Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.111.011;  31.780;   2.306;     436
Sjælland; 427.537;   8.035;     795;     138
Syddanmark; 618.300;   8.513;     515;      56
Midtjylland; 697.602;  12.649;     706;      89
Nordjylland; 362.456;   5.331;     317;      54
I alt i Danmark;3.216.906;  66.308;   4.639;     773
