Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     161 (52);     148 (48);     309
10-19;     315 (55);     261 (45);     576
20-29;   1.043 (62);     643 (38);   1.686
30-39;   1.054 (61);     680 (39);   1.734
40-49;   1.259 (60);     834 (40);   2.093
50-59;   1.305 (60);     875 (40);   2.180
60-69;     691 (50);     697 (50);   1.388
70-79;     460 (45);     551 (55);   1.011
80-89;     459 (57);     344 (43);     803
90+;     184 (72);      71 (28);     255
I alt;   6.931 (58);   5.104 (42);  12.035
