Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.579.260; 133.788;   7.540;   1.336
Sjælland; 661.880;  38.274;   2.599;     405
Syddanmark; 987.727;  40.020;   1.830;     221
Midtjylland;1.077.963;  49.574;   2.239;     357
Nordjylland; 502.085;  20.563;     978;     186
