Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.401.652;  95.567;   5.859;   1.164
Sjælland; 567.297;  27.540;   2.010;     347
Syddanmark; 827.974;  25.596;   1.253;     172
Midtjylland; 925.453;  35.362;   1.747;     321
Nordjylland; 454.666;  13.546;     728;     154
I alt i Danmark;4.177.042; 197.611;  11.597;   2.158
