"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,133563,64170,589884
Midtjylland,284258,137836,1332720
Syddanmark,270473,123015,1223464
Hovedstaden,400749,183119,1854831
Sjælland,191113,99260,839365
