"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,94743,42020,638142
Frederiksberg,22008,10495,103164
Ballerup,11958,5581,49046
Brøndby,8427,4123,35311
Dragør,4073,1843,14542
Gentofte,18210,8810,74250
Gladsaxe,15119,6963,68949
Glostrup,5653,2870,23486
Herlev,7003,3317,28788
Albertslund,6201,2998,27216
Hvidovre,12067,6085,53282
Høje-Taastrup,11500,5682,52176
Lyngby-Taarbæk,13456,6530,57017
Rødovre,9036,4321,41136
Ishøj,4782,2148,23051
Tårnby,9960,4590,42686
Vallensbæk,4003,1966,16544
Furesø,10730,5001,41019
Allerød,6592,2975,25869
Fredensborg,11453,4875,40975
Helsingør,18376,7760,63046
Hillerød,13398,6261,51782
Hørsholm,7812,3547,24806
Rudersdal,15059,7307,56964
Egedal,10274,4314,43796
Frederikssund,12898,5924,45619
Greve,11276,5422,50569
Køge,12762,6621,61488
Frederiksværk-Hundested,9836,4181,31446
Roskilde,19286,9932,88670
Solrød,4858,2413,23477
Gribskov,12971,5202,41009
Odsherred,9522,4352,32913
Holbæk,16432,8411,72053
Faxe,7682,4047,36776
Kalundborg,11147,5646,48384
Ringsted,6390,3347,34969
Slagelse,18133,9873,79302
Stevns,5506,2890,23235
Sorø,6728,3620,29928
Lejre,6536,3279,28415
Lolland,9923,5280,40349
Næstved,18278,10004,83268
Guldborgsund,15388,8410,60337
Vordingborg,11266,5713,45232
Bornholm,13151,5430,39714
Middelfart,9628,4486,39287
Assens,9653,4101,40854
Faaborg-Midtfyn,12696,5288,51650
Kerteminde,6105,2777,23830
Nyborg,7775,3475,31977
Odense,42061,19243,204712
Svendborg,15086,6993,58793
Nordfyns,6813,3057,29519
Langeland,3595,1608,12346
Ærø,1773,780,6000
Haderslev,11520,4837,55333
Billund,5309,2662,26495
Sønderborg,16074,7586,73724
Tønder,7714,3305,36994
Esbjerg,27250,12790,115525
Fanø,1103,389,3434
Varde,11461,5416,49675
Vejen,8760,4394,42775
Aabenraa,11921,4741,58563
Fredericia,11278,5461,51330
Horsens,17768,8398,92635
Kolding,18773,8617,93065
Vejle,24125,11009,117583
Herning,19690,10121,89308
Holstebro,13768,6674,58595
Lemvig,5155,2548,19527
Struer,5404,2951,20825
Syddjurs,10942,4928,43378
Norddjurs,9536,4683,36918
Favrskov,10408,4622,48479
Odder,5655,2739,23040
Randers,21757,10246,98308
Silkeborg,20801,10326,95940
Samsø,981,638,3704
Skanderborg,12989,6021,63521
Århus,63329,29846,352004
Ikast-Brande,8658,4305,41546
Ringkøbing-Skjern,13019,6629,56166
Hedensted,10149,4824,46872
Morsø,5314,2800,20076
Skive,11584,5950,45324
Thisted,10120,4830,43125
Viborg,22665,11387,96630
Brønderslev-Dronninglund,8229,3986,36092
Frederikshavn,15043,7486,58928
Vesthimmerlands,9312,4468,36333
Læsø,841,393,1777
Rebild,6338,2974,30476
Mariagerfjord,9638,4822,41549
Jammerbugt,8888,3868,38169
Ålborg,43913,20993,219337
Hjørring,15927,7550,64022
