"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16863,1
AstraZeneca Covid-19 vaccine,Midtjylland,33652,4
AstraZeneca Covid-19 vaccine,Syddanmark,30419,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45151,19
AstraZeneca Covid-19 vaccine,Sjælland,23858,335
Moderna Covid-19 Vaccine,Nordjylland,5866,4254
Moderna Covid-19 Vaccine,Midtjylland,20359,8834
Moderna Covid-19 Vaccine,Syddanmark,18483,10769
Moderna Covid-19 Vaccine,Hovedstaden,28234,16666
Moderna Covid-19 Vaccine,Sjælland,17221,8644
Pfizer BioNTech Covid-19 vacc,Nordjylland,110834,59915
Pfizer BioNTech Covid-19 vacc,Midtjylland,230247,128998
Pfizer BioNTech Covid-19 vacc,Syddanmark,221571,111999
Pfizer BioNTech Covid-19 vacc,Hovedstaden,327364,166434
Pfizer BioNTech Covid-19 vacc,Sjælland,150034,90281
