"Regionsnavn","Aldersgruppe","sex","Antal første vacc.","Antal faerdigvacc."
Hovedstaden,0-9,K,2,1
Hovedstaden,0-9,M,0,0
Hovedstaden,10-19,K,637,286
Hovedstaden,10-19,M,399,234
Hovedstaden,20-29,K,12349,4971
Hovedstaden,20-29,M,5138,2282
Hovedstaden,30-39,K,13487,6771
Hovedstaden,30-39,M,6646,3732
Hovedstaden,40-49,K,19137,9846
Hovedstaden,40-49,M,8054,4811
Hovedstaden,50-59,K,22620,12406
Hovedstaden,50-59,M,11185,7407
Hovedstaden,60-69,K,44801,13665
Hovedstaden,60-69,M,36040,10335
Hovedstaden,70-79,K,79617,20890
Hovedstaden,70-79,M,66784,18721
Hovedstaden,80-89,K,36937,33084
Hovedstaden,80-89,M,24871,22171
Hovedstaden,90+,K,8802,8393
Hovedstaden,90+,M,3243,3113
Midtjylland,0-9,K,0,0
Midtjylland,0-9,M,0,0
Midtjylland,10-19,K,751,405
Midtjylland,10-19,M,315,224
Midtjylland,20-29,K,10012,4209
Midtjylland,20-29,M,3631,1888
Midtjylland,30-39,K,10695,5384
Midtjylland,30-39,M,4065,2329
Midtjylland,40-49,K,15191,7750
Midtjylland,40-49,M,5144,3002
Midtjylland,50-59,K,18441,9841
Midtjylland,50-59,M,6589,3978
Midtjylland,60-69,K,22647,11508
Midtjylland,60-69,M,15695,7783
Midtjylland,70-79,K,57882,13199
Midtjylland,70-79,M,53760,13612
Midtjylland,80-89,K,28296,24749
Midtjylland,80-89,M,21658,18726
Midtjylland,90+,K,6562,6392
Midtjylland,90+,M,2924,2857
Nordjylland,0-9,K,0,0
Nordjylland,0-9,M,0,0
Nordjylland,10-19,K,292,143
Nordjylland,10-19,M,121,88
Nordjylland,20-29,K,4085,1803
Nordjylland,20-29,M,1588,964
Nordjylland,30-39,K,4830,2244
Nordjylland,30-39,M,1715,997
Nordjylland,40-49,K,6798,3210
Nordjylland,40-49,M,2296,1299
Nordjylland,50-59,K,9066,4660
Nordjylland,50-59,M,3046,1938
Nordjylland,60-69,K,8599,4432
Nordjylland,60-69,M,5417,2921
Nordjylland,70-79,K,28500,5304
Nordjylland,70-79,M,26846,5331
Nordjylland,80-89,K,14348,13544
Nordjylland,80-89,M,11129,10509
Nordjylland,90+,K,3331,3263
Nordjylland,90+,M,1556,1520
Sjælland,0-9,K,0,0
Sjælland,0-9,M,1,1
Sjælland,10-19,K,390,156
Sjælland,10-19,M,204,116
Sjælland,20-29,K,3985,1585
Sjælland,20-29,M,1705,910
Sjælland,30-39,K,6202,2653
Sjælland,30-39,M,2281,1205
Sjælland,40-49,K,10215,4695
Sjælland,40-49,M,3457,1960
Sjælland,50-59,K,12832,6187
Sjælland,50-59,M,4999,3237
Sjælland,60-69,K,12913,7261
Sjælland,60-69,M,9429,6137
Sjælland,70-79,K,42225,12604
Sjælland,70-79,M,39287,13135
Sjælland,80-89,K,19686,17728
Sjælland,80-89,M,15201,13791
Sjælland,90+,K,4275,4129
Sjælland,90+,M,1826,1770
Syddanmark,0-9,K,1,1
Syddanmark,0-9,M,0,0
Syddanmark,10-19,K,623,286
Syddanmark,10-19,M,307,171
Syddanmark,20-29,K,7391,2897
Syddanmark,20-29,M,2976,1498
Syddanmark,30-39,K,9244,4502
Syddanmark,30-39,M,3838,2139
Syddanmark,40-49,K,14058,6897
Syddanmark,40-49,M,5232,3108
Syddanmark,50-59,K,17494,9115
Syddanmark,50-59,M,7359,4650
Syddanmark,60-69,K,17763,9139
Syddanmark,60-69,M,13031,6943
Syddanmark,70-79,K,56083,11627
Syddanmark,70-79,M,51941,11983
Syddanmark,80-89,K,30182,22001
Syddanmark,80-89,M,22903,16320
Syddanmark,90+,K,7021,6791
Syddanmark,90+,M,3026,2947
