"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16866,0
AstraZeneca Covid-19 vaccine,Midtjylland,33644,4
AstraZeneca Covid-19 vaccine,Syddanmark,30414,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45146,20
AstraZeneca Covid-19 vaccine,Sjælland,23860,333
Moderna Covid-19 Vaccine,Nordjylland,4851,4221
Moderna Covid-19 Vaccine,Midtjylland,19704,8426
Moderna Covid-19 Vaccine,Syddanmark,16680,9212
Moderna Covid-19 Vaccine,Hovedstaden,26982,11013
Moderna Covid-19 Vaccine,Sjælland,16178,5732
Pfizer BioNTech Covid-19 vacc,Nordjylland,98318,54987
Pfizer BioNTech Covid-19 vacc,Midtjylland,206613,122824
Pfizer BioNTech Covid-19 vacc,Syddanmark,196196,105540
Pfizer BioNTech Covid-19 vacc,Hovedstaden,295239,150056
Pfizer BioNTech Covid-19 vacc,Sjælland,139479,82037
