"Vaccinedato","geo","Antal påbegyndt vacc. personer","Antal borgere","Påbegyndtvacc. (%)","Kumuleret antal påbegyndt vacc."
2020-12-27,Nationalt,6377,5844847,0.11,6377
2020-12-28,Nationalt,2020,5844847,0.14,8397
2020-12-29,Nationalt,8813,5844847,0.29,17210
2020-12-30,Nationalt,11284,5844847,0.49,28494
2020-12-31,Nationalt,6069,5844847,0.59,34563
2021-01-01,Nationalt,2293,5844847,0.63,36856
2021-01-02,Nationalt,8722,5844847,0.78,45578
2021-01-03,Nationalt,5870,5844847,0.88,51448
2021-01-04,Nationalt,2394,5844847,0.92,53842
2021-01-05,Nationalt,13325,5844847,1.15,67167
2021-01-06,Nationalt,19443,5844847,1.48,86610
2021-01-07,Nationalt,17254,5844847,1.78,103864
2021-01-08,Nationalt,8337,5844847,1.92,112201
2021-01-09,Nationalt,1895,5844847,1.95,114096
2021-01-10,Nationalt,813,5844847,1.97,114909
2021-01-11,Nationalt,658,5844847,1.98,115567
2021-01-12,Nationalt,462,5844847,1.99,116029
2021-01-13,Nationalt,12639,5844847,2.20,128668
2021-01-14,Nationalt,17772,5844847,2.51,146440
2021-01-15,Nationalt,15092,5844847,2.76,161532
2021-01-16,Nationalt,4573,5844847,2.84,166105
2021-01-17,Nationalt,2491,5844847,2.88,168596
2021-01-18,Nationalt,3834,5844847,2.95,172430
2021-01-19,Nationalt,2467,5844847,2.99,174897
2021-01-20,Nationalt,1494,5844847,3.02,176391
2021-01-21,Nationalt,1511,5844847,3.04,177902
2021-01-22,Nationalt,658,5844847,3.05,178560
2021-01-23,Nationalt,744,5844847,3.07,179304
2021-01-24,Nationalt,599,5844847,3.08,179903
2021-01-25,Nationalt,276,5844847,3.08,180179
2021-01-26,Nationalt,216,5844847,3.09,180395
2021-01-27,Nationalt,202,5844847,3.09,180597
2021-01-28,Nationalt,219,5844847,3.09,180816
2021-01-29,Nationalt,1105,5844847,3.11,181921
2021-01-30,Nationalt,1192,5844847,3.13,183113
2021-01-31,Nationalt,1209,5844847,3.15,184322
2021-02-01,Nationalt,748,5844847,3.17,185070
2021-02-02,Nationalt,2023,5844847,3.20,187093
2021-02-03,Nationalt,1532,5844847,3.23,188625
2021-02-04,Nationalt,1422,5844847,3.25,190047
2021-02-05,Nationalt,1585,5844847,3.28,191632
2021-02-06,Nationalt,1020,5844847,3.30,192652
2021-02-07,Nationalt,1898,5844847,3.33,194550
2021-02-08,Nationalt,2532,5844847,3.37,197082
2021-02-09,Nationalt,3550,5844847,3.43,200632
2021-02-10,Nationalt,3271,5844847,3.49,203903
2021-02-11,Nationalt,5671,5844847,3.59,209574
2021-02-12,Nationalt,12048,5844847,3.79,221622
2021-02-13,Nationalt,6552,5844847,3.90,228174
2021-02-14,Nationalt,6218,5844847,4.01,234392
2021-02-15,Nationalt,13837,5844847,4.25,248229
2021-02-16,Nationalt,13238,5844847,4.47,261467
2021-02-17,Nationalt,10456,5844847,4.65,271923
2021-02-18,Nationalt,11466,5844847,4.85,283389
2021-02-19,Nationalt,13892,5844847,5.09,297281
2021-02-20,Nationalt,10498,5844847,5.27,307779
2021-02-21,Nationalt,10802,5844847,5.45,318581
2021-02-22,Nationalt,13514,5844847,5.68,332095
2021-02-23,Nationalt,14400,5844847,5.93,346495
2021-02-24,Nationalt,13701,5844847,6.16,360196
