"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,120035,59208,590340
Midtjylland,259961,131254,1333745
Syddanmark,243290,114999,1224358
Hovedstaden,367367,161089,1856413
Sjælland,179517,88102,839991
